gtdb_genome_representative,accession,ncbi_genbank_assembly_accession,gtdb_taxonomy,gtdb_superkingdom,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_organism_name,ncbi_species_taxid,ncbi_assembly_level,genome_size,gc_count,gc_percentage,ncbi_protein_count,checkm_completeness,checkm_contamination,checkm2_completeness,checkm2_contamination,checkm_marker_count,checkm_marker_set_count,checkm_strain_heterogeneity,contig_count
GCF_023023025.1,RS_GCF_035975215.1,GCA_035975215.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis sp023023025,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp023023025,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis;x__unclassified Amycolatopsis;s__Amycolatopsis sp. NBC_01307,Amycolatopsis sp. NBC_01307,2903561,Complete Genome,11059676,7894720,71.3829229717037,none,100,0.25,100,3.34,350,203,0,1
GCF_000412695.1,RS_GCF_000412695.1,GCA_000412695.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Metapseudomonas;s__Metapseudomonas resinovorans_A,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Metapseudomonas,Metapseudomonas resinovorans_A,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas resinovorans,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas resinovorans;x__Pseudomonas resinovorans NBRC 106553,Pseudomonas resinovorans NBRC 106553,53412,Complete Genome,6484828,4232838,65.2729417033112,5823,100,0.9,100,0.76,813,308,0,2
GCA_963668645.1,GB_GCA_963668645.1,GCA_963668645.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2174;g__UBA2174;s__UBA2174 sp963668645,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2174,UBA2174,UBA2174 sp963668645,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;x__unclassified Desulfobacterales;s__Desulfobacterales bacterium,Desulfobacterales bacterium,2044940,Complete Genome,6347645,3781225,59.5689424975719,none,97.42,3.23,99.35,2.49,247,155,22.22,22
GCF_000691805.2,RS_GCF_000691805.2,GCA_000691805.2,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella oryzae,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella oryzae,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella oryzae,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella oryzae;x__Weissella oryzae SG25,Weissella oryzae SG25,1129792,Scaffold,2129476,828291,38.9000689904893,2128,99.39,0,99.55,0.13,350,163,0,72
GCA_910580045.1,GB_GCA_910580045.1,GCA_910580045.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910580045,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter sp910580045,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__environmental samples;s__uncultured Eubacteriales bacterium,uncultured Eubacteriales bacterium,172733,Scaffold,3030200,1730816,57.1310119370627,none,95.73,0.67,99.44,1.06,263,149,0,314
GCA_013298715.1,GB_GCA_013298715.1,GCA_013298715.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__Aurantibacillus;s__Aurantibacillus sp013298715,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,Aurantibacillus,Aurantibacillus sp013298715,d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;x__unclassified Bacteroidota;s__Bacteroidota bacterium,Bacteroidota bacterium,1898104,Scaffold,4011927,1320234,32.9078914341733,none,99.05,0,99.99,0.48,316,210,0,48
GCA_009837395.1,GB_GCA_009842485.1,GCA_009842485.1,d__Bacteria;p__JAAXHH01;c__JAAXHH01;o__JAAXHH01;f__JAAXHH01;g__JAAXHH01;s__JAAXHH01 sp009837395,Bacteria,JAAXHH01,JAAXHH01,JAAXHH01,JAAXHH01,JAAXHH01,JAAXHH01 sp009837395,d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__;s__,d__Bacteria;x__FCB group;p__Gemmatimonadota;x__unclassified Gemmatimonadota;s__Gemmatimonadota bacterium,Gemmatimonadota bacterium,2026742,Scaffold,3815681,2375300,62.2627596979366,none,97.74,0,95.48,2.61,147,91,0,94
GCF_000219355.1,GB_GCA_963853965.1,GCA_963853965.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__Midichloria;s__Midichloria mitochondrii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Midichloriaceae,Midichloria,Midichloria mitochondrii,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Candidatus Midichloriaceae;g__Candidatus Midichloria;s__Candidatus Midichloria mitochondrii,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Candidatus Midichloriaceae;g__Candidatus Midichloria;s__Candidatus Midichloria mitochondrii,Candidatus Midichloria mitochondrii,234827,Complete Genome,1190694,435501,36.5753921662493,none,100,0,99.97,0.13,147,91,0,1
GCF_030063195.1,RS_GCF_030063195.1,GCA_030063195.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__Cryobacterium sp030063195,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Cryobacterium,Cryobacterium sp030063195,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Cryobacterium;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Cryobacterium;x__unclassified Cryobacterium;s__Cryobacterium sp. PH31-AA6,Cryobacterium sp. PH31-AA6,3046205,Scaffold,3681542,2477459,67.2951545057126,none,99.49,2.27,100,0.52,400,198,40,69
GCF_001506075.1,RS_GCF_001506075.1,GCA_001506075.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp001506075,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio sp001506075,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;x__unclassified Vibrio;s__Vibrio sp. MEBiC08052,Vibrio sp. MEBiC08052,1761910,Scaffold,4762049,2145039,45.6992659489136,4058,95.01,2.88,100,1,946,363,9.68,43
GCF_041538065.1,RS_GCF_007990635.1,GCA_007990635.1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__Leptotrichia hongkongensis,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia hongkongensis,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__Leptotrichia hongkongensis,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__Leptotrichia hongkongensis,Leptotrichia hongkongensis,554406,Complete Genome,2284180,682635,29.8853417856736,none,100,1.14,99.68,0.18,148,88,0,2
GCF_900142265.1,RS_GCF_900142265.1,GCA_900142265.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans,Bacteria,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum lactatifermentans,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans;x__Anaerotignum lactatifermentans DSM 14214,Anaerotignum lactatifermentans DSM 14214,160404,Scaffold,3546077,1603877,45.3060824407953,3606,97.32,0,100,1.96,263,149,0,171
GCF_010727125.1,RS_GCF_025822005.1,GCA_025822005.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium terrae,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium terrae,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter terrae,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter terrae,Mycolicibacter terrae,1788,Scaffold,4511082,3086265,68.4177005291165,none,99.55,0.15,100,0,398,220,0,122
GCA_003531585.1,GB_GCA_934872835.1,GCA_934872835.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115,CAG-115 sp003531585,d__Bacteria;p__;c__;o__;f__;g__;s__,d__Bacteria;x__environmental samples;s__uncultured bacterium,uncultured bacterium,77133,Scaffold,2748416,1451630,52.8231182607886,none,96.64,0.17,97.28,1.19,263,149,0,153
GCF_004684345.1,RS_GCF_036661175.1,GCA_036661175.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter tructae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter tructae,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;x__unclassified Citrobacter;s__Citrobacter sp.,Citrobacter sp.,1896336,Scaffold,4661034,2423673,52.001959348034,none,99.01,0.31,100,0.19,1173,336,0,72
GCA_012837935.1,GB_GCA_033808955.1,GCA_033808955.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__UPXZ01 sp012837935,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,UPXZ01,UPXZ01 sp012837935,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;x__unclassified Paludibacteraceae;s__Paludibacteraceae bacterium,Paludibacteraceae bacterium,2748031,Scaffold,2828751,1069408,37.8062899947714,none,97.85,0,99.17,0,278,186,0,72
GCA_902789245.1,GB_GCA_902789245.1,GCA_902789245.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp902789245,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp902789245,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;x__environmental samples;s__uncultured Bacteroidia bacterium,uncultured Bacteroidia bacterium,1129257,Scaffold,2278450,1374754,60.3391270723615,none,96.9,0.24,95.44,0.79,316,210,0,30
GCF_900239975.1,RS_GCF_900239975.1,GCA_900239975.1,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydophila;s__Chlamydophila poikilotherma,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila poikilotherma,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia poikilotherma,d__Bacteria;x__PVC group;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;x__Chlamydia/Chlamydophila group;g__Chlamydia;s__Chlamydia poikilotherma,Chlamydia poikilotherma,1967783,Complete Genome,1162663,435607,37.4663165508836,none,99.49,0,99.95,0.15,301,197,0,2
GCF_001592125.1,RS_GCF_016919305.1,GCA_016919305.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium hominis,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium hominis,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium hominis,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium hominis,Microbacterium hominis,162426,Complete Genome,3301022,2345544,71.055085364472,none,99.49,0.51,100,0,399,197,0,2
GCF_029278605.1,RS_GCF_029278605.1,GCA_029278605.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus sp029278605,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp029278605,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;x__unclassified Cupriavidus;s__Cupriavidus sp. WKF15,Cupriavidus sp. WKF15,3032282,Complete Genome,7376596,4789550,64.9289997717104,none,99.94,1.38,100,1.92,596,218,50,3
GCF_004000885.1,RS_GCF_037333485.1,GCA_037333485.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus glucanolyticus,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus glucanolyticus,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus glucanolyticus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus glucanolyticus,Paenibacillus glucanolyticus,59843,Complete Genome,6673148,3253101,48.7491211044622,none,99.85,0.22,100,0.19,468,170,0,1
GCA_032068765.1,GB_GCA_032064665.1,GCA_032064665.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__DAMBHY01;s__DAMBHY01 sp032068765,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,DAMBHY01,DAMBHY01 sp032068765,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;x__unclassified Dysgonomonadaceae;s__Dysgonamonadaceae bacterium,Dysgonamonadaceae bacterium,2065189,Scaffold,2282968,834993,36.6015183401445,none,99.98,0,99.76,0.44,273,183,0,111
GCA_902802325.1,GB_GCA_902802325.1,GCA_902802325.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Scatonaster;s__Scatonaster sp902802325,Bacteria,Bacillota,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Scatonaster,Scatonaster sp902802325,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Oscillospiraceae bacterium,Oscillospiraceae bacterium,2485925,Scaffold,2708436,1315496,48.5817627459655,none,95.92,2.13,95.6,2.27,247,141,33.33,157
GCF_001243045.1,RS_GCF_001243045.1,GCA_001243045.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F niameyense,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium_F,Clostridium_F niameyense,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium niameyense,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium niameyense,Clostridium niameyense,1622073,Scaffold,2542842,697772,27.4408403573509,2368,97.93,0,99.86,0.1,404,145,0,7
GCF_003024155.1,RS_GCF_003024155.1,GCA_003024155.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Christiangramia;s__Christiangramia fulva,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Christiangramia,Christiangramia fulva,d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Christiangramia;s__Christiangramia fulva,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Christiangramia;s__Christiangramia fulva,Christiangramia fulva,2126553,Complete Genome,4380140,1739127,39.7048267863584,3843,99.6,1.96,99.99,0.51,496,263,0,1
GCF_000425345.1,RS_GCF_030731965.1,GCA_030731965.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Rheinheimera;s__Rheinheimera baltica,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Rheinheimera,Rheinheimera baltica,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Rheinheimera;s__Rheinheimera baltica,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Rheinheimera;s__Rheinheimera baltica,Rheinheimera baltica,67576,Scaffold,4955968,2277436,45.9719654975498,none,99.66,1.97,100,1.43,693,297,40,358
GCF_000314855.2,RS_GCF_000314855.2,GCA_000314855.2,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia burhodogranariea,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Providencia,Providencia burhodogranariea,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia burhodogranariea,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia burhodogranariea;x__Providencia burhodogranariea DSM 19968,Providencia burhodogranariea DSM 19968,516074,Scaffold,4579454,1776862,39.0761736682666,3908,100,0.18,99.99,0.8,312,185,0,59
GCF_900103695.1,RS_GCF_900103695.1,GCA_900103695.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Sediminibacillus;s__Sediminibacillus halophilus,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Sediminibacillus,Sediminibacillus halophilus,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Sediminibacillus;s__Sediminibacillus halophilus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Sediminibacillus;s__Sediminibacillus halophilus,Sediminibacillus halophilus,482461,Scaffold,4149758,1777778,42.861789151045,4016,99.34,1.21,99.96,0.3,275,151,0,18
GCF_900130025.1,RS_GCF_900130025.1,GCA_900130025.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales;f__Sporanaerobacteraceae;g__Sporanaerobacter;s__Sporanaerobacter acetigenes,Bacteria,Bacillota,Clostridia,Tissierellales,Sporanaerobacteraceae,Sporanaerobacter,Sporanaerobacter acetigenes,d__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Sporanaerobacteraceae;g__Sporanaerobacter;s__Sporanaerobacter acetigenes,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Sporanaerobacteraceae;g__Sporanaerobacter;s__Sporanaerobacter acetigenes;x__Sporanaerobacter acetigenes DSM 13106,Sporanaerobacter acetigenes DSM 13106,165813,Scaffold,2912784,907321,31.1779372662052,2816,99.3,1.4,99.24,0.42,250,143,0,36
GCF_900094945.1,RS_GCF_900094945.1,GCA_900094945.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella bombicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Gilliamella,Gilliamella bombicola,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Gilliamella;s__Gilliamella bombicola,Gilliamella bombicola,1798182,Scaffold,2319664,831227,35.8802815077516,2136,98.31,0,100,0.04,277,177,0,34
GCF_009917525.1,GB_GCA_948838825.1,GCA_948838825.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter sp009917525,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__environmental samples;s__uncultured Eubacteriales bacterium,uncultured Eubacteriales bacterium,172733,Scaffold,3168041,1734897,54.7689544191068,none,96.98,0.73,99.09,0.36,263,149,50,220
GCA_900317985.1,GB_GCA_902768155.1,GCA_902768155.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG420;s__RUG420 sp900317985,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,RUG420,RUG420 sp900317985,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__unclassified Oscillospiraceae;s__Oscillospiraceae bacterium,Oscillospiraceae bacterium,2485925,Scaffold,1907069,1111408,58.2853001377671,none,96.98,1.34,97.36,2.08,263,149,0,155
GCF_001401755.1,RS_GCF_001401755.1,GCA_001401755.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__Aquimarina longa,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina longa,d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__Aquimarina longa,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__Aquimarina longa;x__Aquimarina longa SW024,Aquimarina longa SW024,1080221,Scaffold,5506799,1730233,31.4519138638999,4706,99.62,0.19,100,0.82,496,263,0,75
GCF_000382305.1,RS_GCF_022870945.1,GCA_022870945.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla stercoraria,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Vitreoscilla,Vitreoscilla stercoraria,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla stercoraria,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla stercoraria,Vitreoscilla stercoraria,61,Complete Genome,2661781,1171514,44.0124112389411,none,99.57,0,99.97,0.01,387,234,0,3
GCA_963667825.1,GB_GCA_963667825.1,GCA_963667825.1,d__Bacteria;p__Bacillota;c__Negativicutes;o__SG130;f__SG130;g__Azotosporobacter;s__Azotosporobacter sp963667825,Bacteria,Bacillota,Negativicutes,SG130,SG130,Azotosporobacter,Azotosporobacter sp963667825,d__Bacteria;p__Bacillota;c__Negativicutes;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;x__unclassified Negativicutes;s__Negativicutes bacterium,Negativicutes bacterium,2499140,Complete Genome,3754391,1934177,51.5177295065964,none,99.21,1.27,98.64,1.03,295,158,0,1
GCF_001261775.1,RS_GCF_001261775.1,GCA_001261775.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus senegalensis,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Anaeromassilibacillus,Anaeromassilibacillus senegalensis,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus senegalensis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus senegalensis,Anaeromassilibacillus senegalensis,1673717,Scaffold,3511751,1858158,52.935550891723,3047,98.52,0,99.9,0,263,149,0,15
