Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_900002375.2	GCA_900002375	Plasmodium berghei ANKA		ANKA					Annotation submitted by WTSI	18740246	Chromosome	6/14/19	CABFNT01	19		
GCF_028751815.1	IMPLAD_Smil_shh	Salvia miltiorrhiza			Shanhuang (shh)				GCF_028751815.1-RS_2023_06	530963680	Chromosome	2/24/23	JAPPVP01	171		
GCF_000512975.1	S_indicum_v1.0	Sesamum indicum			Zhongzhi No. 13				NCBI Sesamum indicum Annotation Release 101	274906174	Chromosome	1/6/14	APMJ01	16368		
GCF_900880675.1	fSpaAur1.1	Sparus aurata							NCBI Sparus aurata Annotation Release 100	833578411	Chromosome	7/30/19	CAAHFC01	175		
GCF_022379125.1	ASM2237912v1	Scophthalmus maximus		ysfricsl-2021				female	NCBI Scophthalmus maximus Annotation Release 101	538217135	Chromosome	2/24/22	JAJTWG01	27		
GCF_025698485.1	ASM2569848v2	Gossypium arboreum					Shixiya-1		GCF_025698485.1-RS_2022_12	1620504428	Chromosome	10/17/22	JAOWAB01	946		
GCF_016808335.1	P.virgatum_v5	Panicum virgatum		AP13					NCBI Panicum virgatum Annotation Release 100	1129857985	Chromosome	2/10/21	JABWAI01	1089		
GCF_902167405.1	gadMor3.0	Gadus morhua							NCBI Gadus morhua Annotation Release 100	669949713	Chromosome	7/16/19	CABHMC01	226		
GCF_022113875.1	Hydra_105_v3	Hydra vulgaris					105		NCBI Hydra vulgaris Annotation Release 103	819386744	Chromosome	2/14/22	JAGKSS01	54		
GCF_015228065.2	NSTDA_Pmon_1	Penaeus monodon					SGIC_2016		NCBI Penaeus monodon Annotation Release 100	2391040180	Chromosome	11/5/20	JABERT01	26634		
GCF_000184155.1	FraVesHawaii_1.0	Fragaria vesca subsp. vesca							NCBI Fragaria vesca Annotation Release 101	214217322	Chromosome	2/24/11	AEMH01	3047		
GCF_003713225.1	Cara_1.0	Coffea arabica			Caturra red		CCC135-36	hermaphrodite	NCBI Coffea arabica Annotation Release 100	1094291418	Chromosome	11/8/18	RHJU01	2832		
GCF_011064425.1	Rrattus_CSIRO_v1	Rattus rattus					New Zealand	male	NCBI Rattus rattus Annotation Release 100	2382770976	Chromosome	3/4/20	JAAIVD01	2172		
GCF_011125445.2	MU-UCD_Fhet_4.1	Fundulus heteroclitus					FHET01	male	NCBI Fundulus heteroclitus Annotation Release 102	1203489213	Chromosome	8/13/20	JAAEEJ02	1030		
GCF_020424385.1	ASM2042438v2	Procambarus clarkii		Jiangsu					NCBI Procambarus clarkii Annotation Release 100	2735345304	Chromosome	10/12/21	JAIWQB01	24238		
GCF_000149555.1	ASM14955v1	Fusarium verticillioides 7600		7600					"Annotation submitted by Syngenta Biotechnology, Inc."	41791161	Chromosome	7/6/11	AAIM02	36		
GCF_013347855.1	fAngAng1.pri	Anguilla anguilla					fAngAng1		NCBI Anguilla anguilla Annotation Release 100	979029243	Chromosome	6/18/20	JABVMG01	53		
GCF_027887165.1	mMonDom1.pri	Monodelphis domestica					mMonDom1	male	GCF_027887165.1-RS_2023_05	3586166573	Chromosome	1/18/23	JAQIHD01	13		
GCF_019359855.1	MPB_Lper_Kyuss_1697	Lolium perenne					Kyuss_39		NCBI Lolium perenne Annotation Release 100	2276788877	Chromosome	7/28/21	JAEVFB01	1677		
GCF_000208745.1	Criollo_cocoa_genome_V2	Theobroma cacao			B97-61/B2				NCBI Theobroma cacao Annotation Release 100	324719311	Chromosome	7/9/16	FLSQ01	430		
GCF_001723175.1	ASM172317v3	Penicillium oxalicum		HP7-1					Annotation submitted by Guangxi University	30795872	Chromosome	4/25/22	JRVD02	18		
GCF_000002435.2	UU_WB_2.1	Giardia intestinalis		WB C6					Annotation submitted by Marine Biological Laboratory	12078186	Chromosome	11/6/19	AACB03	35		
GCF_000741045.1	Vradiata_ver6	Vigna radiata var. radiata			VC1973A				NCBI Vigna radiata Annotation Release 101	463085359	Chromosome	10/28/15	JJMO01	2497		
GCF_013141755.1	UCI_ANSTEP_V1.0	Anopheles stephensi		Indian				pooled male and female	NCBI Anopheles stephensi Annotation Release 100	243460342	Chromosome	6/9/20	JABEOT01	494		
GCF_035594125.1	ASM3559412v1	Scylla paramamosain					STU-SP2022	male	GCF_035594125.1-RS_2024_03	1210760420	Chromosome	1/12/24	JAYKKS01	233		
GCF_007655135.1	ASM765513v2	Punica granatum					Tunisia-2019		NCBI Punica granatum Annotation Release 100	320335647	Chromosome	10/22/19	MABG02	473		
GCF_013339725.1	BIME_Rmic_1.3	Rhipicephalus microplus					Rmic-2018		NCBI Rhipicephalus microplus Annotation Release 100	2529915399	Chromosome	6/16/20	JABSTU01	7047		
GCF_008728515.1	Panubis1.0	Papio anubis					15944	male	NCBI Papio anubis Annotation Release 104	2869804647	Chromosome	10/2/19	VSMJ01	11144		
GCF_001411555.2	Walnut 2.0	Juglans regia			Chandler				NCBI Juglans regia Annotation Release 101	572786133	Chromosome	7/8/20	LIHL02	24756		
GCF_004118075.2	ASM411807v2	Vigna unguiculata			IT97K-499-35				NCBI Vigna unguiculata Annotation Release 100	518595462	Chromosome	1/30/19	NBOW01	675		
GCF_001660625.3	Coco_2.0	Ictalurus punctatus	USDA103					female	GCF_001660625.3-RS_2023_03	842926452	Chromosome	10/20/22	LBML02	136		
GCF_009193385.2	Nvit_psr_1.1	Nasonia vitripennis		AsymCx				male	NCBI Nasonia vitripennis Annotation Release 104	297309692	Chromosome	1/30/20	WELF01	444		
GCF_022655615.1	HZAU_PFXX_2.0	Tachysurus fulvidraco					hzauxx_2018	female	NCBI Tachysurus fulvidraco Annotation Release 101	712016913	Chromosome	3/21/22	JAJLOY01	517		
GCF_017591435.1	ASM1759143v1	Portunus trituberculatus					SZX2019		NCBI Portunus trituberculatus Annotation Release 100	1005046021	Chromosome	3/30/21	JAGGDN01	523		
GCA_948472305.1	Hedin2 genome v1	Vicia faba							Annotation submitted by faba bean genome consortium	11914498746	Chromosome	5/11/23	CATIWC01	3983		
GCA_015852605.2	ASM1585260v2	Populus deltoides			I-69			female	Annotation submitted by Nanjing Forestry University	424589836	Chromosome	12/20/21	JACEGQ02	264		
GCF_000523025.1	Cse_v1.0	Cynoglossus semilaevis					Cse_v1.0		NCBI Cynoglossus semilaevis Annotation Release 102	470182763	Chromosome	1/28/14	AGRG01	31180		
GCF_001540865.1	ASM154086v1	Ananas comosus			F153				NCBI Ananas comosus Annotation Release 100	381896302	Chromosome	3/14/16	LODP01	3128		
GCA_029852735.1	ASM2985273v1	Persea americana			Hass		MH2022		Annotation submitted by University of Queensland	912940922	Chromosome	4/21/23	JAQQXO01	482		
GCF_009389715.1	palm_55x_up_171113_PBpolish2nd_filt_p	Phoenix dactylifera			Barhee BC4			male	NCBI Phoenix dactylifera Annotation Release 103	772315838	Chromosome	11/4/19	NBZB01	2389		
GCF_016545825.1	ASM1654582v1	Eucalyptus grandis					ANBG69807.140		NCBI Eucalyptus grandis Annotation Release 102	615891308	Chromosome	1/6/21	JABKBJ01	35		
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female	NCBI Meleagris gallopavo Annotation Release 103	1115457962	Chromosome	10/21/19	ADDD02	187694		
GCF_000340665.2	C.cajan_V1.1	Cajanus cajan							NCBI Cajanus cajan Annotation Release 101	590369945	Chromosome	9/29/16	AGCT01	31510		
GCF_036013475.1	bColLiv1.pat.W.v2	Columba livia	racing homer				bColLiv1	female	GCF_036013475.1-RS_2024_05	1325566026	Chromosome	4/8/24	JAYMZD02	869		
GCF_016802725.1	UNIL_Sinv_3.0	Solenopsis invicta					M01_SB	male	NCBI Solenopsis invicta Annotation Release 104	378101515	Chromosome	2/3/21	JAEQMK01	219		
GCF_019578655.1	ASM1957865v1	Ricinus communis				wild-type	WT05		NCBI Ricinus communis Annotation Release 102	315619833	Chromosome	8/12/21	JAABNL01	140		
GCF_910591885.1	iyBomTerr1.2	Bombus terrestris							NCBI Bombus terrestris Annotation Release 103	392962041	Chromosome	2/9/22	CAJUYY02	249		
GCF_013753865.1	Amil_v2.1	Acropora millepora					JS-1		NCBI Acropora millepora Annotation Release 101	475381253	Chromosome	7/29/20	JACAWQ01	854		
GCA_018804465.1	PTv2	Populus tomentosa					GM15		Annotation submitted by Ori-Gene Co. Ltd.	738799493	Chromosome	6/9/21	JAAWWB01	2400		
GCF_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus					GS200	female	NCBI Ictidomys tridecemlineatus Annotation Release 103	2478949113	Chromosome	2/17/21	JAESOR01	7131		
GCF_020520425.1	BTI_SOV_V1	Spinacia oleracea			Varoflay				GCF_020520425.1-RS_2023_06	894256318	Chromosome	10/20/21	WWFT01	244		
GCF_002575655.2	Aet v5.0	Aegilops tauschii subsp. strangulata			AL8/78				NCBI Aegilops tauschii Annotation Release 102	4218064899	Chromosome	9/30/21	NWVB02	109196		
GCF_002994745.2	RchiOBHm-V2	Rosa chinensis			Old Blush				NCBI Rosa chinensis Annotation Release 101	515118979	Chromosome	1/15/19	PDCK01	53		
GCA_005286985.2	Setaria_viridis_v4.0	Setaria viridis			A10				Annotation submitted by DOE Joint Genome Institute	397277387	Chromosome	4/23/24	SNSE02	39		
GCF_005286985.1	Setaria_viridis_v2.0	Setaria viridis			A10				NCBI Setaria viridis Annotation Release 100	395731502	Chromosome	5/14/19	SNSE01	75		
GCF_030272615.1	Sugi_1.0	Cryptomeria japonica							GCF_030272615.1-RS_2023_08	9046532310	Chromosome	3/31/23	BSEH01	2698		
GCF_015732765.1	VPISU_Cqui_1.0_pri_paternal	Culex quinquefasciatus		JHB				male	NCBI Culex quinquefasciatus Annotation Release 100	573214445	Chromosome	12/4/20	JADDTP01	56		
GCF_016077325.2	ASM1607732v2	Equus asinus	Dezhou					male	NCBI Equus asinus Annotation Release 101	2431907375	Chromosome	10/14/21	JADWZW02	50		
GCF_901001165.1	fSalTru1.1	Salmo trutta							NCBI Salmo trutta Annotation Release 100	2371863509	Chromosome	6/2/19	CAAJIE01	1440		
GCF_002806865.2	ASM280686v2	Cucurbita pepo subsp. pepo			mu-cu-16				NCBI Cucurbita pepo subsp. pepo Annotation Release 100	259381069	Chromosome	12/7/17	NHTM01	24193		
GCF_016801865.2	TS_CPP_V2	Culex pipiens pallens					TS	female	GCF_016801865.2-RS_2022_12	566339288	Chromosome	8/5/22	JADCQB02	289		
GCF_023375975.1	AstMex3_surface	Astyanax mexicanus					ESR-SI-001	female	NCBI Astyanax mexicanus Annotation Release 103	1373169186	Chromosome	5/19/22	JALAHU01	109		
GCF_914767665.1	icHarAxyr1.1	Harmonia axyridis							NCBI Harmonia axyridis Annotation Release 100	425524972	Chromosome	9/16/21	CAJZBN01	13		
GCF_018446385.1	Zo_v1.1	Zingiber officinale			Zhangliang				NCBI Zingiber officinale Annotation Release 100	3090266393	Chromosome	5/21/21	JACMSC01	210		
GCF_020184175.1	ASM2018417v2	Aphis gossypii					Hap1		NCBI Aphis gossypii Annotation Release 101	334855424	Chromosome	9/30/21	JAGTJE01	504		
GCF_002922805.2	ASM292280v2	Oryzias melastigma		HK-1				pooled male and female	NCBI Oryzias melastigma Annotation Release 101	778686656	Chromosome	4/13/20	NVQA02	8492		
GCF_009870125.1	UCI_Dpse_MV25	Drosophila pseudoobscura		MV2-25				female	NCBI Drosophila pseudoobscura Annotation Release 104	163266851	Chromosome	3/3/20	WVEN01	69		
GCF_000149405.2	ASM14940v2	Thalassiosira pseudonana CCMP1335		CCMP1335					Annotation submitted by Diatom Consortium	32437365	Chromosome	1/16/09	AAFD02	64		
GCF_000002875.2	ASM287v2	Leishmania infantum JPCM5		JPCM5					Annotation submitted by NCBI RefSeq	32122061	Chromosome	11/8/11	CACT01	76		
GCF_932294415.1	dhQueRobu3.1	Quercus robur							NCBI Quercus robur Annotation Release 100	789187406	Chromosome	3/11/22	CAKOAN01	95		
GCF_901000725.2	fTakRub1.2	Takifugu rubripes							NCBI Takifugu rubripes Annotation Release 103	384110215	Chromosome	6/5/19	CAAJGN02	127		
GCF_001640805.2	TLL_Latcal_v3	Lates calcarifer					ASB-BC8	male	GCF_001640805.2-RS_2023_02	673797687	Chromosome	8/1/22	LLXD02	2996		
GCF_000633955.1	Cs	Camelina sativa			DH55				NCBI Camelina sativa Annotation Release 101	641356059	Chromosome	4/24/14	JFZQ01	37212		
GCA_032690845.1	Eleusine_coracana_v1.0	Eleusine coracana subsp. coracana			KNE 796-S				Annotation submitted by University of Georgia	1111714373	Chromosome	11/2/23	JASSVF01	674		
GCF_947242115.1	xgBioGlab47.1	Biomphalaria glabrata							GCF_947242115.1-RS_2023_05	850620091	Chromosome	10/29/22	CAMXHX01	43		
GCF_011762595.1	mTurTru1.mat.Y	Tursiops truncatus					mTurTru1	male	NCBI Tursiops truncatus Annotation Release 102	2378505825	Chromosome	3/27/20	JAAOMD01	361		
GCF_018296145.1	Otsh_v2.0	Oncorhynchus tshawytscha					Ot180627B	male	NCBI Oncorhynchus tshawytscha Annotation Release 101	2294842546	Chromosome	5/7/21	JAEPEU01	9977		
GCF_902201215.1	ALMONDv2	Prunus dulcis							NCBI Prunus dulcis Annotation Release 100	227599157	Chromosome	10/10/19	CABIKO01	691		
GCF_002706865.2	ASM270686v3	Spodoptera litura		Ishihara				male	NCBI Spodoptera litura Annotation Release 100	429567674	Chromosome	10/25/17	MTZO01	2396		
GCF_000004555.2	CB4	Caenorhabditis briggsae		AF16					Annotation submitted by The C.briggsae Sequencing Consortium	108384165	Chromosome	7/2/14	CAAC03	638		
GCF_000633615.1	Guppy_female_1.0+MT	Poecilia reticulata		Guanapo				female	NCBI Poecilia reticulata Annotation Release 101	731605743	Chromosome	4/28/14	AZHG01	3028		
GCF_000346735.1	P.mume_V1.0	Prunus mume					4		NCBI Prunus mume Annotation Release 101	233872527	Chromosome	2/28/14	AOHF01	8625		
GCF_021901695.1	Pst134E36_v1_pri	Puccinia striiformis f. sp. tritici		134E16A+17+33+					Annotation submitted by Australian National University	89491239	Chromosome	2/3/22	JAIUNB01	184		
GCF_000165345.1	ASM16534v1	Cryptosporidium parvum Iowa II					Iowa type II		Annotation submitted by NCBI RefSeq	9102324	Chromosome	2/26/07	AAEE01	8		
GCF_963169125.1	drHumLupu1.1	Humulus lupulus							GCF_963169125.1-RS_2024_01	2488098718	Chromosome	8/19/23	CAUJGV01	319		
GCF_019175385.1	ASM1917538v2	Lycium barbarum					Lr01		GCF_019175385.1-RS_2023_10	1669658834	Chromosome	7/8/21	JAHTKO01	165		
GCF_002007445.2	ASM200744v3	Ailuropoda melanoleuca					Jingjing	female	NCBI Ailuropoda melanoleuca Annotation Release 103	2440260518	Chromosome	4/20/20	LNAT02	73513		
GCF_003704035.1	HU_Pman_2.1.3	Peromyscus maniculatus bairdii					BW	female	NCBI Peromyscus maniculatus bairdii Annotation Release 102	2512423440	Chromosome	9/17/20	RCWR01	8523		
GCF_028554725.1	idZeuCucr1.2	Zeugodacus cucurbitae					PBARC_wt_2022May	male	GCF_028554725.1-RS_2023_03	439243742	Chromosome	2/9/23	JAQFWH01	55		
GCF_017639315.1	ASM1763931v2	Drosophila ananassae		14024-0371.13				pooled male and female	NCBI Drosophila ananassae Annotation Release 102	213817545	Chromosome	7/16/21	JACRYV02	139		
GCF_035594765.1	rAnoCar3.1.pri	Anolis carolinensis					JA03-04	male	GCF_035594765.1-RS_2024_02	1850740401	Chromosome	1/12/24	JAWQEF01	211		
GCF_028641065.1	Leri_hhj_1	Leucoraja erinacea				New England			GCF_028641065.1-RS_2023_04	2190844947	Chromosome	2/22/23	JAMYXN01	1768		
GCF_013340165.1	LBDM_Dsuz_2.1.pri	Drosophila suzukii		WT3_2.0					NCBI Drosophila suzukii Annotation Release 102	268012156	Chromosome	6/15/20	WWNF01	546		
GCF_002021735.2	Okis_V2	Oncorhynchus kisutch					150728-3	female	NCBI Oncorhynchus kisutch Annotation Release 101	2375894934	Chromosome	11/4/19	MPKV02	4086		
GCA_013339765.2	BIME_HaeL_1.3	Haemaphysalis longicornis					HaeL-2018		Annotation submitted by TIGMIC Group	2554731864	Chromosome	6/16/20	JABSTR01	3885		
GCF_001876935.1	Aspof.V1	Asparagus officinalis						male	NCBI Asparagus officinalis Annotation Release 100	1187538024	Chromosome	2/6/17	MPDI01	11792		
GCF_004115265.2	mRhiFer1_v1.p	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	male	GCF_004115265.2-RS_2023_02	2075768562	Chromosome	5/16/19	RXPC01	134		
GCF_036321535.1	mCamDro1.pat	Camelus dromedarius					mCamDro1	male	GCF_036321535.1-RS_2024_04	2306603094	Chromosome	1/31/24	JAZARU01	171		
GCA_902850365.2	PGI_CHILSU_V6	Chilo suppressalis							Annotation submitted by ROTHAMSTED RESEARCH	783446955	Chromosome	9/9/22	CADHSE02	32		
GCF_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens							NCBI Hermetia illucens Annotation Release 100	1004932590	Chromosome	11/21/20	CAJHNG01	20		
GCA_902829305.4	PGI_SPEXI_v6	Spodoptera exigua							Annotation submitted by ROTHAMSTED RESEARCH	450885128	Chromosome	10/8/22	CADEPN05	35		
GCA_025999795.1	ASM2599979v1	Monascus purpureus		KUPM5					Annotation submitted by The United Graduate School of Agricultural Sciences Kagoshima University	24475985	Chromosome	10/6/22		10		
GCF_010993605.1	kPetMar1.pri	Petromyzon marinus					kPetMar1	male	NCBI Petromyzon marinus Annotation Release 100	1089034212	Chromosome	2/24/20	JAAIYE01	1433		
GCF_022985175.1	IGBB_LRoh.1.0	Labeo rohita		BAU-BD-2019				male	GCF_022985175.1-RS_2023_02	1126541939	Chromosome	4/19/22	JACTAM01	2869		
GCA_029721355.1	KUTeg	Tegillarca granosa					Teg-2019		Annotation submitted by Korea University	915485251	Chromosome	4/18/23	JARBDR01	923		
GCA_009829735.1	ASM982973v1	Neopyropia yezoensis			RZ				Annotation submitted by Ocean University	107590730	Chromosome	1/6/20	WMLA01	28		
GCF_026875155.1	ASM2687515v2	Cherax quadricarinatus					HC-2022	male	GCF_026875155.1-RS_2023_01	5247605071	Chromosome	12/14/22	JAPQEV01	46552		
GCF_016808095.1	ASM1680809v1	Vigna angularis			LongXiaoDou No.4				GCF_016808095.1-RS_2022_12	447806493	Chromosome	2/4/21	JABFOF01	34		
GCF_026262505.1	NYU_TvagG3_2	Trichomonas vaginalis G3		G3					Annotation submitted by New York University	181466644	Chromosome	11/21/22	JAOSJJ01	218		
GCF_020171115.1	ASM_NN_V1	Neogale vison					M4711	female	NCBI Neovison vison Annotation Release 100	2681198719	Chromosome	9/29/21	JAIAWX01	182		
GCF_028408465.1	idAnaLude1.1	Anastrepha ludens					Willacy	male	GCF_028408465.1-RS_2023_03	820766187	Chromosome	2/6/23	JAKYJY01	140		
GCF_018687715.1	C.illinoinensisPawnee_v1	Carya illinoinensis			Pawnee				NCBI Carya illinoinensis Annotation Release 100	674272338	Chromosome	6/3/21	JAEDWW01	34		
GCF_016746365.2	Prin_Dyak_Tai18E2_2.1	Drosophila yakuba		Tai18E2				female	NCBI Drosophila yakuba Annotation Release 102	147883098	Chromosome	7/30/21	JAEDAC02	53		
GCF_951802175.1	ddPopNigr1.1	Populus nigra							GCF_951802175.1-RS_2024_01	413224811	Chromosome	5/27/23	CATOPT01	21		
GCF_004193775.1	ASM419377v2	Glycine soja			W05				NCBI Glycine soja Annotation Release 100	1013211804	Chromosome	2/21/19	QZWG01	1118		
GCF_018812025.1	ASM1881202v1	Megalobrama amblycephala					DHTTF-2021	female	NCBI Megalobrama amblycephala Annotation Release 100	1109871993	Chromosome	6/9/21	JAGTWI01	242		
GCF_003573695.1	ASM357369v1	Papaver somniferum			HN1				NCBI Papaver somniferum Annotation Release 100	2715377404	Chromosome	9/18/18	PUWZ01	34380		
GCA_016771965.1	ASM1677196v1	Brassica carinata					sxm20200214		Annotation submitted by North China University of Science and Technology	1086987601	Chromosome	1/29/21	JAAMPC01	1636		
GCF_003073045.1	ASM307304v1	Pomacea canaliculata					SZHN2017	female	NCBI Pomacea canaliculata Annotation Release 100	440143917	Chromosome	5/11/18	PZQS01	23		
GCF_014839805.1	JHU_Msex_v1.0	Manduca sexta					Smith_Timp_Sample1		NCBI Manduca sexta Annotation Release 102	470021481	Chromosome	10/2/20	JACVES01	4056		
GCF_004355905.1	PgNI	Pyricularia grisea		NI907					Annotation submitted by Academia Sinica	44557582	Chromosome	3/19/19	RRCK01	43		
GCF_018135715.1	MEX_DaPlex	Danaus plexippus						female	GCF_018135715.1-RS_2023_11	245173502	Chromosome	4/26/21	JAEQBL01	66		
GCF_013100865.1	CAS_Tse_1.0	Trachemys scripta elegans					TJP31775		NCBI Trachemys scripta elegans Annotation Release 100	2126182493	Chromosome	5/15/20	VIRI01	137		
GCF_018350195.1	P.tigris_Pti1_mat1.1	Panthera tigris					Pti1	female	NCBI Panthera tigris Annotation Release 102	2408678698	Chromosome	5/13/21	JAEQMW01	74		
GCF_902635505.1	mSarHar1.11	Sarcophilus harrisii							NCBI Sarcophilus harrisii Annotation Release 103	3086657325	Chromosome	11/7/19	CACPPN01	105		
GCF_020085105.1	ASM2008510v1	Siniperca chuatsi					FFG_IHB_CAS	female	NCBI Siniperca chuatsi Annotation Release 100	718804017	Chromosome	9/24/21	JAHXMP01	64		
GCF_000147395.1	OglaRS2	Oryza glaberrima							NCBI Oryza glaberrima Annotation Release 100	347321046	Chromosome	3/10/21	ADWL02	72		
GCF_027358585.1	fPanHyp1.pri	Pangasianodon hypophthalmus					fPanHyp1		GCF_027358585.1-RS_2023_02	764974446	Chromosome	12/28/22	JAPZKW01	58		
GCF_963082965.1	fCarCar2.1	Carassius carassius							GCF_963082965.1-RS_2023_09	1684296438	Chromosome	8/9/23	CAUJCD01	277		
GCF_019176455.1	IFAPA_SoseM_1	Solea senegalensis					Sse05_10M	male	NCBI Solea senegalensis Annotation Release 100	603518608	Chromosome	7/9/21	JAGKHQ01	1936		
GCF_003590095.1	tn1	Trichoplusia ni					ovarian cell line Hi5		NCBI Trichoplusia ni Annotation Release 100	368211209	Chromosome	9/24/18	NKQN01	1031		
GCF_943734845.2	idAnoFuneDA-416_04	Anopheles funestus							NCBI Anopheles funestus Annotation Release 100	250698078	Chromosome	6/24/22	CALSEJ01	329		
GCF_943734745.1	idAnoDarlMG_H_01	Anopheles darlingi							NCBI Anopheles darlingi Annotation Release 100	181637336	Chromosome	6/24/22	CALSDZ01	65		
GCA_030254885.1	VITMroCarlos_v1.3	Vitis rotundifolia			Carlos				Annotation submitted by University of Tennessee	414839711	Chromosome	6/12/23	JARBHA01	75		
GCF_905147795.1	ilPieRapa1.1	Pieris rapae							NCBI Pieris rapae Annotation Release 101	256355036	Chromosome	1/28/21	CAJHWY01	39		
GCF_018143015.1	Lvar_3.0	Lytechinus variegatus					NC3	female	NCBI Lytechinus variegatus Annotation Release 100	869582435	Chromosome	4/29/21	JAFCXN01	32		
GCF_020283565.1	ARS_RC_1.1	Trifolium pratense			HEN17-A07				NCBI Trifolium pratense Annotation Release 100	413578898	Chromosome	10/13/21	JAIHMJ01	88		
GCF_900634795.4	fBetSpl5.4	Betta splendens							GCF_900634795.4-RS_2023_04	426984265	Chromosome	3/10/23	CAAAFW04	35		
GCA_020310875.1	C.richardii_v2	Ceratopteris richardii			Hn-n		Whitten #5841		Annotation submitted by Open Green Genomes Project	7462456809	Chromosome	11/5/21	JAIKUY01	10772		
GCA_022539455.1	Dnobile	Dendrobium nobile						hermaphrodite	Annotation submitted by Guangzhou Medical University	1199116975	Chromosome	3/10/22	JAGYWB01	57		
GCF_947172395.1	ilBicAnyn1.1	Bicyclus anynana							GCF_947172395.1-RS_2022_12	457159770	Chromosome	10/28/22	CAMWEB01	82		
GCF_005281545.1	ASM528154v1	Epinephelus lanceolatus					Andai001	female	NCBI Epinephelus lanceolatus Annotation Release 100	1087399367	Chromosome	5/13/19	SZWH01	4200		
GCF_000317375.1	MicOch1.0	Microtus ochrogaster					Prairie Vole_2	female	NCBI Microtus ochrogaster Annotation Release 102	2287340943	Chromosome	12/7/12	AHZW01	6450		
GCF_024166365.1	mEleMax1 primary haplotype	Elephas maximus indicus					mEleMax1	male	GCF_024166365.1-RS_2023_02	3401247148	Chromosome	7/6/22	JAMZQU01	64		
GCF_900496995.4	bAquChr1.4	Aquila chrysaetos chrysaetos							NCBI Aquila chrysaetos chrysaetos Annotation Release 101	1233704830	Chromosome	3/26/21	UFQG04	144		
GCF_030014295.1	mLoxAfr1.hap2	Loxodonta africana					mLoxAfr1	male	GCF_030014295.1-RS_2024_04	3540876381	Chromosome	5/16/23	JASCQR01	879		
GCF_030254825.1	Bangor_MerUng_6.1	Meriones unguiculatus		TT.TT164.6M				male	GCF_030254825.1-RS_2023_10	2702201048	Chromosome	6/12/23	JAODIK01	193		
GCF_015237465.2	rCheMyd1.pri.v2	Chelonia mydas					rCheMyd1	male	NCBI Chelonia mydas Annotation Release 103	2134358617	Chromosome	7/15/21	JADCQM02	92		
GCF_003369695.1	UOA_Brahman_1	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male	NCBI Bos indicus x Bos taurus Annotation Release 100	2680953056	Chromosome	11/30/18	PUFS02	1250		
GCF_036370855.1	bDroNov1.hap1	Dromaius novaehollandiae					bDroNov1	female	GCF_036370855.1-RS_2024_04	1468706110	Chromosome	2/26/24	JAZAQV01	271		
GCA_917627325.4	PGI_CHIRRI_v4	Chironomus riparius							Annotation submitted by ROTHAMSTED RESEARCH	191837449	Chromosome	10/18/22	CAKJTK04	14		
GCF_025698545.1	ASM2569854v1	Gossypium raimondii					GPD5lz		NCBI Gossypium raimondii Annotation Release 101	750205487	Chromosome	10/17/22	JAOWAE01	287		
GCF_030445035.1	mDasNov1.hap2	Dasypus novemcinctus					mDasNov1	male	GCF_030445035.1-RS_2023_07	3570966115	Chromosome	7/13/23	JAUJUA01	539		
GCF_022539315.1	serCan2020	Serinus canaria					serCan28SL12	female	GCF_022539315.1-RS_2023_02	1050336073	Chromosome	8/25/22	JAKSEN01	684		
GCF_009819705.1	fHipHip1.pri	Hippoglossus hippoglossus					fHipHip1	male	NCBI Hippoglossus hippoglossus Annotation Release 100	596775069	Chromosome	12/31/19	WOYB01	56		
GCA_907165135.1	OKI2018_I68_1.0	Oikopleura dioica							Annotation submitted by OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY	64272340	Chromosome	5/17/21	CAJRAX01	18		
GCF_033807575.1	ilCydPomo1	Cydia pomonella					Wapato2018A	female	GCF_033807575.1-RS_2023_12	642246045	Chromosome	11/21/23	JAPFFR01	216		
GCF_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	LL Stock					female	NCBI Peromyscus leucopus Annotation Release 101	2475164510	Chromosome	10/2/20	NMRJ02	1856		
GCF_034236695.1	Oner_Uvic_2.0	Oncorhynchus nerka					Pitt River	male	GCF_034236695.1-RS_2024_05	2645619652	Chromosome	1/8/24	JAUJDZ01	11377		
GCF_020615455.1	ASM2061545v1	Coregonus clupeaformis					EN_2021a	female	NCBI Coregonus clupeaformis Annotation Release 101	2753270621	Chromosome	11/4/21	JAJAFO01	7333		
GCF_029448725.1	ASM2944872v1	Salvelinus fontinalis					EN_2023a	female	GCF_029448725.1-RS_2023_04	2496185110	Chromosome	3/28/23	JAQYZX01	2721		
