"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","16S seq. accession number",GC-content
,,,,,856736.3,,
,,,,,GCA_900109185,,
3890,TDMA-uv51,"DSM 22367, CCUG 53611, JCM 14370, NBRC 102117",1,"Deinococcus roseus",392414.3,AB264136,57.1-57.7
,,,,,GCA_014646895,,57.4
,,,,,,,69.1
133314,JSH3-1,"KCTC 33790, JCM 31311",1,"Deinococcus ruber",1848197.3,KU865685,62
,,,,,GCA_014648095,,
133032,,"DSM 29933, CGMCC 1.15089, YIM F302",1,"Deinococcus soli",1765963.3,KT278764,69.3
,,,,,GCA_014640655,,
164049,,"JCM 31405, KCTC 33796",1,"Deinococcus sedimenti",1867090.3,KU758885,67.2
,,,,,GCA_014648135,,
164048,,"JCM 31404, KCTC 33793",1,"Deinococcus seoulensis",1837379.3,LC148306,66.9
,,,,,GCA_014648115,,
162421,,"JCM 19176, KCTC 33153",1,"Deinococcus soli",GCA_001007995,KC771032,71.4
162267,,"JCM 18581, KCTC 33033, LMG 30469",1,"Deinococcus radiopugnans",GCA_000800395,JQ991923,66.5
23887,R12,"DSM 28115, CGMCC 1.8884, CIP 110212, NBRC 105665",1,"Deinococcus wulumuqiensis",1288484.10,EU025028,66.7
,,,,,1288484.11,KJ784486,
,,,,,1288484.12,,
,,,,,1288484.13,,
,,,,,1288484.14,,
,,,,,1288484.15,,
,,,,,1288484.16,,
,,,,,1288484.17,,
,,,,,1288484.18,,
,,,,,1288484.19,,
23888,R13,"DSM 28106, CGMCC 1.8885, NBRC 105666, CIP 110211",0,"Deinococcus wulumuqiensis",980427.7,FJ439568,63.8
,,,,,GCA_000478785,KJ784487,
,,,,,GCA_014645595,,
2941,"2167, 7","DSM 39, ATCC 15668, DSM 50251, JCM 5833, ACM 489, BCRC 14819, CCUG 12692, CCUG 14481, CECT 311, CIP 103021, IAM 12409, IFO 14950, JCM 6203, LMG 1226, LMG 6031, LMG 8910, LMG 8911, NBRC 14950, NCIMB 9681, NCTC 10683, IMET 10620, NCTC 10859",1,"Delftia acidovorans",1218107.6,AB021417,66.6
,,,,,2609460141,AB680719,67.1
,,,,,2731957715,AF078774,
,,,,,GCA_000741825,EU014532,
,,,,,GCA_001598795,EU024145,
,,,,,,LC462156,
,,,,,,X59168,
2954,332,"DSM 21246, LMG 24775",1,"Delftia lacustris",2675903026,EU888308,65.3
,,,,,558537.5,,
,,,,,GCA_900107225,,
2952,T7,"DSM 17581, ATCC BAA-554, NBRC 16741",1,"Delftia tsuruhatensis",1220577.3,AB075017,66.2
,,,,,2839144908,AB681119,
,,,,,GCA_001571325,,
6598,M6A9,"DSM 15638, JCM 10491, NCIMB 13914, ATCC BAA-482, CCM 7143, CCUG 44587, CCUG 45366, CGMCC 1.3701, CIP 106688, LMG 19872",1,"Dellaglioa algida",1423719.4,AB033209,36
,,,,,2663763513,AB289022,36.5
,,,,,GCA_001434695,LC096231,
,,,,,,OP879200,
17837,JC2054,"DSM 19086, IMSNU 14027, JCM 12123, KCTC 9919, NBRC 106260",1,"Demequina aestuarii",2690315957,AB639015,67
,,,,,327095.3,DQ010160,
,,,,,GCA_000975095,,
23444,YM12-102,"DSM 27402, KCTC 19745, MBIC 08347, NBRC 106265",1,"Demequina aurantiaca",2660238532,AB52264,65.4
,,,,,676200.3,AB522641,
,,,,,GCA_000975135,AB639020,
17840,HR08-7,"DSM 24865, NBRC 105854",1,"Demequina flava",1095025.3,AB674956,64.5
,,,,,2667527640,,
,,,,,GCA_000975035,,
131534,"H12-44, HI12-44","DSM 28149, NBRC 109390",1,"Demequina gelatinilytica",1536632.3,LC042200,71.4
,,,,,2671180374,,
,,,,,GCA_000971115,,
23445,YM24-125,"DSM 27404, KCTC 19747, MBIC 08349, NBRC 106266",1,"Demequina globuliformis",2690315954,AB522643,67.3
,,,,,676202.3,AB639018,
,,,,,GCA_000975155,,
131535,"H12-143, HI12-143","DSM 28146, NBRC 109399",1,"Demequina iriomotensis",1536641.3,LC042212,71.9
,,,,,2663762970,,
,,,,,GCA_000971395,,
17838,"RODXS3, SV 45","DSM 19970, LMG 24795, NBRC 106155, JCM 17019",1,"Demequina lutea",2657245116,AB639016,63.2
,,,,,2833986135,EF451745,66.2
,,,,,431489.3,,
,,,,,431489.6,,
,,,,,GCA_000975075,,
,,,,,GCA_013409005,,
17842,HI08-69,"DSM 24868, NBRC 105856",1,"Demequina mangrovi",1043493.3,AB639012,71.7
,,,,,1043493.4,,
,,,,,2687453759,,
,,,,,2700989458,,
,,,,,GCA_000759715,,
,,,,,GCA_900109245,,
131532,"H12-104, HI12-104","DSM 28144, NBRC 109392",1,"Demequina maris",1536634.3,LC042202,72.3
,,,,,2700989459,,
,,,,,GCA_000971155,,
23446,YM05-1041,"DSM 27405, KCTC 19746, MBIC 08346, NBRC 106264",1,"Demequina oxidasica",2690315952,AB522640,65.3
,,,,,676199.3,AB639019,
,,,,,GCA_000975115,,
131539,"H12-111, HI12-111","DSM 28148, NBRC 109393",1,"Demequina pelophila",1536635.3,LC042204,72.2
,,,,,2690315940,,
,,,,,GCA_000971175,,
131533,"H12-45, HI12-45","DSM 28150, NBRC 109391",1,"Demequina phytophila",1536633.3,LC042201,71.7
,,,,,2690315966,,
,,,,,GCA_000971135,,
131538,HI12-135,"DSM 28152, NBRC 109397",1,"Demequina rhizosphaerae",1536639.3,LC042210,72.2
,,,,,2663763507,,
,,,,,GCA_000971255,,
17839,KV-810,"DSM 22060, NBRC 105323",1,"Demequina salsinemoris",2671180261,AB471559,70-72
,,,,,GCA_000974805,AB639017,
17841,HR08-43,"DSM 24867, NBRC 105855",0,"Demequina sediminicola",1095026.3,AB674957,62.4
,,,,,2690315958,,
,,,,,GCA_000975055,,
131537,"H12-123, HI12-123","DSM 28147, NBRC 109395",1,"Demequina silvatica",1536637.3,LC042208,72.0
,,,,,2657244995,,
,,,,,GCA_000971215,,
131540,"H12-122, HI12-122","DSM 28151, NBRC 109394",1,"Demequina soli",1536636.3,LC042207,72.3
,,,,,2663762912,,
,,,,,GCA_000971195,,
131541,"H12-128, HI12-128","DSM 28145, NBRC 109396",1,"Demequina subtropica",1536638.3,LC042209,71.6
,,,,,2663763161,,
,,,,,GCA_000971235,,
3921,2002-46,"CCUG 39179, CCM 4700, CIP 105501, JCM 11480, DSM 11295, IFO 16164, NBRC 16164, HKI 0089, NCIMB 13517",1,"Demetria terragena",1121385.3,Y14152,64.7
,,,,,2521172561,,66
,,,,,GCA_000376825,,
166499,K23C18032701,"GDMCC 1.1403, KCTC 62913",1,"Deminuibacter soli",2291815.3,MH740925,47.2
,,,,,2845931976,,
,,,,,GCA_003412455,,
17120,,"DSM 1736, ATCC 25974",1,"Dendrosporobacter quercicolus",1121386.4,AJ010962,52.0-54.0
,,,,,146817.6,M59110,
,,,,,2622736508,,
,,,,,GCA_013303165,,
,,,,,GCA_900104455,,
13931,"AcBE2-1, AcBE2I","DSM 16959, JCM 12830",1,"Denitratisoma oestradiolicum",311182.3,AY879297,61.4
,,,,,311182.4,,
,,,,,GCA_007844305,,
,,,,,GCA_902813185,,
3838,N2460,"DSM 12809, NBRC 114555",1,"Denitrovibrio acetiphilus",522772.6,AF146526,42.6
,,,,,646564527,,
,,,,,GCA_000025725,,
3918,"S69, S-69","DSM 7083, ATCC 49369, NCFB 2769, CCUG 32998, JCM 7448, CCM 4122, CECT 4165, CIP 105144, IFM 10528, IMSNU 21318, NBRC 106157, NCIMB 13131",1,"Dermabacter hominis",1349750.9,LC144978,62
,,,,,2731957604,X76728,62.0
,,,,,GCA_001570785,X91034,63.2
132563,32,"DSM 101003, NCCP 16133",1,"Dermabacter jinjuensis",1667168.4,KT036432,62.58
,,,,,1667168.5,,
,,,,,2846849301,,
132483,AD1-86,"DSM 100050, KCTC 39585",1,"Dermabacter vaginalis",2721755616,KP903369,62.6
,,,,,GCA_001678905,,
3924,MT1.1,"DSM 17573, CIP 109302, NCIMB 14084, JCM 14339",1,"Dermacoccus abyssi",2833109367,AY894323,65.2
,,,,,GCA_003515945,,
3922,"59, 8094","DSM 20448, ATCC 29093, CCM 2140, CCUG 33028, JCM 11613, CECT 544, CIP 81.71, IAM 13592, IFO 15356, IMSNU 21319, LMG 14222, NBRC 15356, NCDO 2358, NCIMB 702358, NCTC 11039, VKM Ac-2160, VKM B-1818",1,"Dermacoccus nishinomiyaensis",1274.14,X87757,67.8
,,,,,1274.37,,
,,,,,2832479645,,
,,,,,GCA_900447535,,
3940,"A-4, V.1328/1","DSM 44180, ATCC 14637, CCUG 47448, JCM 8106, NRRL B-2350, NCTC 13039, NBRC 105199",1,"Dermatophilus congolensis",1121387.3,AB550800,57.6-58.6
,,,,,1863.3,AJ243918,58.1
,,,,,2523533584,HQ113103,59.4
,,,,,2773857907,M59057,60.1
,,,,,GCA_000429885,,
,,,,,GCA_900187045,,
352,II,"DSM 723, ATCC 15994, NCIB 9064, CCUG 51006, LMG 3977, NRRL B-4319, NRRL B-14655, JCM 20996, BCRC 80374, CECT 841, IAM 13946, NBRC 102506, NCIMB 9064",1,"Derxia gummosa",1121388.4,AB089482,69.2
,,,,,2529292503,AB681840,
,,,,,764842.44,,
,,,,,GCA_000482785,,
2272,,"DSM 20581, ATCC 8363, NCIB 9892, CCUG 38799, JCM 1969, BCRC 11883, CGMCC 1.1918, CIP 104227, IFO 12145, KCTC 3258, NBRC 12145, NCIMB 9892, CCTM La 2757",1,"Desemzia incerta",2622736579,Y14650,40
,,,,,82801.3,Y17300,
,,,,,GCA_900115825,,
158572,KJ1-10-99,"LMG 29918, KCTC 33878",1,"Desertibacillus haloalkaliphilus",GCA_019039105,KC989945,48.7
160770,,"DSM 105431, KCTC 39977, CPCC 204711",1,"Desertihabitans aurantiacus",2282477.3,MH507190,73.1
,,,,,2848708460,,
,,,,,GCA_003344635,,
168917,16Sb5-5,"KCTC 49116, CGMCC 1.16553",1,"Desertihabitans brevis",GCA_003327535,MK947033,73.3
,,,,,QOUI00000000,,
16786,,"DSM 45169, CCUG 55916, IMMIB L-1269",1,"Desmospora activa",1121389.3,AM940019,49.3
,,,,,2737471615,,
,,,,,2784132155,,
,,,,,GCA_003046315,,
131399,,"DSM 45903, NBRC 109626, SCSIO 11154",1,"Desmospora profundinema",2784132156,KM368342,51.8
,,,,,2901220101,,
140145,Mt10,"DSM 101500, CSUR P1918",0,"Desnuesiella massiliensis",GCA_001403615,LN846906,32.09
16673,MT-96,"DSM 13146",1,"Desulfacinum hydrothermale",1121390.3,AF170417,59.5
,,,,,2585428172,,
,,,,,GCA_900176285,,
16672,BalphaG1,"DSM 9756, ACM 3991",1,"Desulfacinum infernum",1121391.4,L27426,64
,,,,,2582580750,,
,,,,,GCA_900129305,,
11817,MLF,"DSM 6562, NBRC 112758",1,"Desulfallas thermosapovorans",1121431.3,Y11575,51.2
,,,,,2599185175,Z26315,63.5
,,,,,GCA_008124625,,
140313,BW-1,"DSM 103535, JCM 18010",0,"Desulfamplus magnetovallimortis",GCA_900170035,JN252194,40.72
,,,,,,,41
17627,"Konstanz, 2st14","DSM 2075, ATCC 33931, VKM B-1802",1,"Desulfarculus baarsii",644282.4,AF418174,66
,,,,,648028023,M34403,
,,,,,GCA_000143965,,
3946,CV2803,"DSM 15576, ATCC BAA-743",1,"Desulfatibacillum aliphaticivorans",1121392.3,AY184360,41.4
,,,,,2522572160,,
,,,,,GCA_000429905,,
3947,PF2803,"DSM 16219, ATCC BAA-924",1,"Desulfatibacillum alkenivorans",1121393.3,AY493562,57.8
,,,,,2585428156,,
,,,,,GCA_900142135,,
3969,,"DSM 4660, ATCC 49792, Ani 1",1,"Desulfatiglans anilini",1121399.3,AJ237601,59.1
,,,,,2526164742,,
,,,,,GCA_000422285,,
3996,HB1,"DSM 18734, JCM 14470",1,"Desulfatirhabdium butyrativorans",1121394.3,DQ146482,55.1
,,,,,2524023145,,
,,,,,GCA_000429925,,
22990,S28bF,"DSM 23472, NBRC 107166",1,"Desulfatitalea tepidiphila",2690315754,AB614135,56.6
,,,,,GCA_001293685,,
11839,sk.kt5,"DSM 16504, JCM 12761",1,"Desulfitibacter alkalitolerans",1304884.3,AY751285,41.6
,,,,,2556921039,,
,,,,,GCA_000620305,,
11841,,"DSM 22410, UNIQEM U794, AHT 17",1,"Desulfitispora alkaliphila",2829729602,FJ788525,37.9
11762,JW/IU-DC1,"DSM 9161, ATCC 51507",1,"Desulfitobacterium dehalogenans",2507262031,DQ834677,44
,,,,,756499.4,L28946,45
,,,,,GCA_000243155,,
11765,DCB-2,"DSM 10664",1,"Desulfitobacterium hafniense",272564.6,X94975,47
,,,,,643348537,,
,,,,,GCA_000021925,,
11764,PCE-S,"DSM 14645",0,"Desulfitobacterium hafniense",GCA_000944695,AJ512772,47.3
11767,DP7,"DSM 13498",0,"Desulfitobacterium hafniense",2522572064,AJ276701,48.3
,,,,,537010.4,DQ834671,
,,,,,GCA_000238035,,
11768,TCP-A,"DSM 13557",0,"Desulfitobacterium hafniense",2516653041,AJ404686,45.5
,,,,,872024.4,,
,,,,,GCA_000378805,,
3954,AcRM3,"DSM 3379, ATCC 43919",1,"Desulfobacter curvatus",1121396.3,AF418175,46.1
,,,,,2515154174,M34413,
,,,,,GCA_000373985,,
3955,AcRS1,"DSM 3380, ATCC 43915",1,"Desulfobacter hydrogenophilus",2291.4,FR733673,44.6
,,,,,2291.7,M34412,
,,,,,2890690344,,
,,,,,GCA_003261095,,
,,,,,GCA_004319545,,
,,,,,GCA_010499545,,
3956,AcRS2,"DSM 3381, ATCC 43918",1,"Desulfobacter latus",GCA_013389365,AJ441315,43.8
3963,B54,"DSM 8776",1,"Desulfobacter vibrioformis",1121398.3,U12254,47.0
,,,,,2571042011,,47.6
,,,,,GCA_000745975,,
3978,PhO1,"DSM 3384, ATCC 43956",1,"Desulfobacula phenolica",2616644807,AJ237606,40.6
,,,,,90732.5,,
,,,,,GCA_900105645,,
4136,CVL,"DSM 8436, JCM 16814",1,"Desulfobaculum senezii",2574179788,AF050100,62
4178,P1,"DSM 24233, CGMCC 1.5166",1,"Desulfobaculum xiamenense",2829737207,HQ697913,64.5
,,,,,995050.3,,
,,,,,GCA_011927665,,
4000,ASO4-4,"DSM 22078, UNIQEM U759",1,"Desulfobotulus alkaliphilus",2596583602,FJ788523,51.3
,,,,,GCA_007830435,,
159198,PAR22N,"DSM 105758, JCM 32146",1,"Desulfobotulus mexicanus",GCA_006175995,KY523541,49
,,,,,,KY523541.1,
,,,,,,KY523541.2,
3999,,"DSM 2055, ATCC 33892, VKM B-1803, Lindhorst (1pa3)",1,"Desulfobotulus sapovorans",2574180434,FJ789839,52.7
,,,,,,FR733666,
,,,,,,M34402,
130283,APS1,"DSM 24258, UNIQEM U900",1,"Desulfobulbus alkaliphilus",869814.3,HM750216,52.8
,,,,,GCA_016918545,,
4002,FP,"DSM 2908, ATCC 43118",1,"Desulfobulbus elongatus",1121402.3,X95180,59.0
,,,,,2556921601,,
,,,,,GCA_000621145,,
133072,Prop6,"DSM 103420, JCM 31535",1,"Desulfobulbus oligotrophicus",1909699.3,KU845305,51.7
,,,,,GCA_016446285,,
4004,,"DSM 2032, ATCC 33891, Lindhorst (1pr3)",1,"Desulfobulbus propionicus",577650.3,AY548789,59.9
,,,,,649633036,M34410,
,,,,,GCA_000186885,,
4013,M16,"DSM 8777, ATCC 700652",1,"Desulfobulbus rhabdoformis",34032.3,U12253,50.6
,,,,,GCA_016919065,,
4019,SB164P1,"DSM 10523",1,"Desulfocapsa sulfexigens",1167006.13,Y13672,47.2
,,,,,1167006.5,,
,,,,,2561511172,,
,,,,,GCA_000341395,,
4018,Bra2,"DSM 7269",1,"Desulfocapsa thiozymogenes",2514885009,X95181,54.7
24791,SCBM,"DSM 28127, JCM 19826",1,"Desulfocarbo indianensis",2654587567,KF032904,62.5
,,,,,GCA_001184205,,
3968,IbRM,"DSM 3385, JCM 12295",1,"Desulfocicer vacuolatum",1121400.3,AF418178,45.0
,,,,,1121400.7,M34408,
,,,,,2681813565,,
,,,,,GCA_900176365,,
,,,,,GCA_945870015,,
3982,KMRActS,"DSM 5651",1,"Desulfococcus biacutus",2512047085,AJ277887,56.5
3981,"Göttingen (1be1)","DSM 2059, ATCC 33890",1,"Desulfococcus multivorans",1121405.12,AF418173,57.4
,,,,,1121405.3,M34405,
,,,,,2568526001,,
,,,,,2619619091,,
,,,,,897.4,,
,,,,,897.5,,
,,,,,GCA_000422185,,
,,,,,GCA_001854245,,
,,,,,GCA_002009335,,
,,,,,GCA_900167235,,
140353,NAW-5,"DSM 102911, NBRC 112242",1,"Desulfocucumis palustris",2788500037,LC183909,46.6
,,,,,GCA_002933875,,
4071,Benghazi,"DSM 2603, ATCC 19996, NCIMB 8401, VKM B-1757",1,"Desulfocurvibacter africanus subsp. africanus",1121435.3,X99236,61.0
,,,,,2526164711,,
,,,,,GCA_000422545,,
4069,VNs36,"DSM 17965, JCM 14038, AS As36, AS 36",1,"Desulfocurvus vexinensis",1121406.3,DQ841177,67.2
,,,,,2541046937,,
,,,,,GCA_000519125,,
3985,P1,"DSM 12642, ATCC 700811",1,"Desulfofaba hansenii",157842.3,AF321820,53.5
,,,,,2740891818,,
11822,S1,"DSM 12257, ATCC 700784, VKM B-2192",1,"Desulfofalx alkaliphila",1121423.4,AF097024,40.9
,,,,,2565956519,,
,,,,,GCA_000711975,,
11789,5575,"DSM 771, ATCC 49208, VKM B-1644",1,"Desulfofarcimen acetoxidans",485916.5,Y11566,37.5
,,,,,644736351,,
,,,,,GCA_000024205,,
169773,DRH4,"DSM 113455, JCM 39248",1,"Desulfoferrobacter suflitae",GCA_022603395,MZ677251,54.5
11821,AB33,"DSM 11792, ACM 3917, KCTC 15817, JCM 34022",1,"Desulfofundulus australicus",1121425.3,M96665,48.1
,,,,,2582580749,NR_037008,
,,,,,GCA_900129285,,
11804,17,"DSM 6115, VKM B-1805",1,"Desulfofundulus kuznetsovii",2515154209,AJ294427,54.9
,,,,,760568.4,Y11569,
,,,,,GCA_000214705,,
11824,SLT,"DSM 12396, SMCC W644",1,"Desulfofundulus luciae",2926666083,HE582754,51.4
,,,,,,HE582755,
,,,,,,HE582756,
,,,,,,HE582757,
11826,TPO,"DSM 14055",1,"Desulfofundulus thermobenzoicus subsp. thermosyntrophicus",29376.3,AY007190,53.7
,,,,,GCA_009428905,,
11830,RL50JIII,"DSM 16057, JCM 13837",1,"Desulfofundulus thermosubterraneus",1121432.3,DQ208688,54.5
,,,,,2585428086,,
,,,,,GCA_900142025,,
4020,PerGlyS,"DSM 9705",1,"Desulfofustis glycolicus",1121409.3,X99707,56.2
,,,,,2585428080,,
,,,,,GCA_900130015,,
16678,ALDC,"DSM 18185, ATCC BAA-1302, JCM 13588",1,"Desulfoglaeba alkanexedens",2636416042,DQ303457,53.6
,,,,,980445.7,,
,,,,,GCA_005377625,,
4015,Pro1,"DSM 18378, JCM 14043",1,"Desulfogranum japonicum",1121403.3,AB110549,48.6
,,,,,2524614762,,
,,,,,GCA_000429945,,
4017,3pr10,"DSM 2058, JCM 13489",1,"Desulfogranum marinum",453220.3,M34411,47.3
,,,,,GCA_016918565,,
4014,86FS1,"DSM 13871, JCM 15784",1,"Desulfogranum mediterraneum",1121404.3,AF354663,58.6
,,,,,2523533605,,
,,,,,GCA_000429965,,
4043,"HR100, HR<SUB>100</SUB>","DSM 5692, JCM 16813, ATCC 49708",1,"Desulfohalobium retbaense",485915.10,U48244,56.9-57.3
,,,,,485915.5,X99235,57.1
,,,,,644736349,,
,,,,,GCA_000024325,,
4159,RT2,"DSM 16529, JCM 12612",1,"Desulfohalovibrio alkalitolerans",1121439.3,ATHI01000016,64.7
,,,,,2571042912,AY649785,
,,,,,2619619068,,
,,,,,GCA_000422245,,
158486,L21-Syr-AB,"DSM 26903, JCM 18662",1,"Desulfohalovibrio reitneri",2571042914,JOMJ01000003,65.47
,,,,,GCA_000711295,KC665952,65.5
24301,SR45,"DSM 26801, NBRC 109411",1,"Desulfolucanica intricata",1285191.3,AB778017,41.1
,,,,,2713896921,,
,,,,,GCA_001592105,,
3997,AA1,"DSM 17682, ATCC BAA-1256",1,"Desulfoluna spongiiphila",2654587882,EF187256,57.2
,,,,,GCA_900101345,,58.5
4103,ThAcO1,"DSM 3696, ATCC 43913, VKM B-1764",1,"Desulfolutivibrio sulfodismutans",1121464.3,MN596860,64.1
,,,,,2901954164,Y17764,
,,,,,63561.4,,
,,,,,GCA_010499425,,
,,,,,GCA_013376455,,
160637,"J.5.4.2-L.4.2.8, J.5.4.2-L4.2.8","DSM 107105, NBRC 113990",1,"Desulfolutivibrio sulfoxidireducens",2661838.3,MN596862,63.69
,,,,,CP045508,,64.07
,,,,,GCA_013376475,,
160636,J.3.6.1-H.7,"DSM 106783, NBRC 113989",0,"Desulfolutivibrio sulfoxidireducens",2661839.3,MN596861,63.69
,,,,,GCA_013376495,,
167961,KT2,"DSM 111364, JCM 34118",1,"Desulfomarina profundi",GCA_019703855,LC582825,46.1
4053,1105,"DSM 5918, VKM B-1804",1,"Desulfomicrobium apsheronum",2622736590,U64865,52.0
,,,,,52560.3,,
,,,,,GCA_900114115,,
4057,,"DSM 10707, ATCC 51164, ESC 1",1,"Desulfomicrobium escambiense",1121411.3,AJ277886,59.9
,,,,,2524023157,,
,,,,,GCA_000428825,,
4052,M-9,"DSM 4194, VKM B-1598",1,"Desulfomicrobium macestii",2875778839,AJ237604,58.0-59.0
,,,,,90731.3,,
,,,,,GCA_014873765,,
4058,,"DSM 1741, NCIMB 8310, Norway 4",1,"Desulfomicrobium norvegicum",2675903163,AJ277897,55.3
,,,,,52561.3,DQ834676,
,,,,,GCA_900114595,,
4059,NY678,"DSM 12838, JCM 17150",1,"Desulfomicrobium orale",2684623057,AB573871,59.5
,,,,,888061.5,AJ251623,59.7
,,,,,GCA_001553625,,
16666,DCB-1,"DSM 6799, ATCC 49306",1,"Desulfomonile tiedjei",2509601019,AM086646,49.0
,,,,,706587.4,,
,,,,,706587.9,,
,,,,,GCA_000266945,,
4047,ASO3-1,"DSM 19093, UNIQEM U234",1,"Desulfonatronospira thiodismutans",555779.3,EU296537,50
,,,,,643886196,,
,,,,,GCA_000174435,,
4034,Z-7935,"DSM 9292",1,"Desulfonatronovibrio hydrogenovorans",1121413.3,X99234,48.6
,,,,,2563366506,,
,,,,,GCA_000686525,,
4063,Z-7951,"DSM 10312",1,"Desulfonatronum lacustre",2516143004,AF418171,57.3
,,,,,935942.4,Y14594,
,,,,,GCA_000519265,,
4066,ASO4-1,"DSM 21337, UNIQEM U756",1,"Desulfonatronum thioautotrophicum",2593339128,FJ469577,57.6
,,,,,GCA_000934745,,
4067,ASO4-2,"DSM 21338, UNIQEM U757",1,"Desulfonatronum thiosulfatophilum",2596583601,FJ469578,57.0
,,,,,GCA_900104215,,
4039,6N,"DSM 15269, CIP 107713",1,"Desulfonauticus submarinus",206665.4,AF524933,34.4
,,,,,2619619038,,
,,,,,GCA_900104045,,
11773,GKNTAU,"DSM 11270, ATCC 700533",1,"Desulfonispora thiosulfatigenes",2501915963,Y18214,52.0
,,,,,656914.3,,
,,,,,GCA_900176035,,
4031,,"DSM 18488, JCM 14042, MSL 86",1,"Desulfopila aestuarii",1121416.3,AB110542,54.4
,,,,,1121416.5,MT159450,
,,,,,2582581262,,
,,,,,GCA_900143695,,
,,,,,GCA_945863875,,
4032,JS_SRB250Lac,"DSM 19738, NBRC 103921",1,"Desulfopila inferna",468528.3,AM774321,50.3
,,,,,GCA_016919005,,
131347,Pf12B,"DSM 28890, NBRC 110391",1,"Desulfoplanes formicivorans",2786546903,LC017841,54.0
,,,,,GCA_001748225,,55.4
130284,KoBa311,"DSM 28570, KCTC 15441",1,"Desulfoprunum benzoelyticum",1506996.3,KJ766003,52.3
,,,,,1506996.4,,
,,,,,2861203348,,
,,,,,GCA_014201505,,
,,,,,GCA_016918515,,
130524,TGB60-1,"DSM 29799, JCM 18733, KCTC 4534",1,"Desulforadius tongensis",1216062.3,JX183068,53.9
,,,,,2898010342,,
,,,,,GCA_016907915,,
11819,9,"DSM 10349, NBRC 112752",1,"Desulforamulus aeronauticus",1121421.3,X98407,43.8
,,,,,2585428189,,
,,,,,GCA_900142375,,
132676,Bs105,"DSM 24088, JCM 31386",1,"Desulforamulus aquiferis",GCA_004143605,KF591693,42.9
11832,,"DSM 18033, JCM 13992, LAM Lam5, LAM 5",1,"Desulforamulus hydrothermalis",1121428.3,EF081293,46.8
,,,,,1121428.6,,
,,,,,GCA_000315365,,
,,,,,GCA_900129895,,
132677,Bs107,"DSM 24093, JCM 31387",1,"Desulforamulus profundi",GCA_002607855,KF591692,48.7
,,,,,,KF591694,
11823,TH-11,"DSM 12395, SMCC W459, CCUG 55205, ATCC 700427, OCM 459",1,"Desulforamulus putei",1121429.4,AF053929,48.9
,,,,,2582580748,,
,,,,,GCA_900129195,,
132391,MI-1,"DSM 100696, ATCC BAA-1160",1,"Desulforamulus reducens",GCA_000016165,NR_102770,42.3
11800,DL,"DSM 2154, ATCC 23193, NCIMB 8452",1,"Desulforamulus ruminis",650716033,AB294140,47.2
,,,,,696281.4,Y11572,
,,,,,GCA_000215085,,
3965,HRM2,"DSM 3382, ATCC 43914",1,"Desulforapulum autotrophicum",177437.21,AF418177,47.6
,,,,,177437.4,,
,,,,,643692021,,
,,,,,GCA_000020365,,
4028,"S'pore T1","DSM 12130",1,"Desulforhopalus singaporensis",2596583525,AF118453,50.6
,,,,,91360.5,,
,,,,,GCA_900104445,,
4021,"ltk 10","DSM 9700",1,"Desulforhopalus vacuolatus",40414.3,L42613,48.4
,,,,,GCA_016918505,,
4001,PropA,"DSM 17721, VKM B-2385",1,"Desulfosalsimonas propionicica",2861192947,DQ067422,54.1
,,,,,332175.3,,
,,,,,GCA_013761005,,
140361,PL12,"DSM 103901, JCM 31728",1,"Desulfosarcina alkanivorans",571177.3,AB468588,57
,,,,,GCA_009688945,,
3994,480,"DSM 7267, JCM 12296, VKM B-1975",1,"Desulfosarcina cetonica",1294021.26,AJ237603,59
,,,,,2703718901,,59.0
,,,,,GCA_001311845,,
3995,oXyS1,"DSM 13228, JCM 12297",1,"Desulfosarcina ovata",GCA_009689005,Y17286,51
159613,28bB2T,"DSM 23484, NBRC 106234",0,"Desulfosarcina ovata subsp. sediminis",AP021876,AB587702,53.7
,,,,,AP021877,,53.8
,,,,,AP021878,,
,,,,,GCA_009688985,,
140360,PP31,"DSM 103921, JCM 31729",1,"Desulfosarcina widdelii",2883713342,AB610146,54.8
,,,,,947919.4,,
,,,,,GCA_009688965,,
11790,BSD,"DSM 3669, NBRC 112753",1,"Desulfoscipio geothermicus",2602042027,AJ294428,49.9
,,,,,39060.4,X80789,
,,,,,GCA_900115975,Y11567,
11825,Groll,"DSM 7213, NBRC 112754",1,"Desulfoscipio gibsoniae",2508501002,AJ294431,42.1
,,,,,767817.3,AJ294432,
,,,,,GCA_000233715,AJ294433,
,,,,,,Y11576,
16679,USBA-053,"DSM 22027, KCTC 5670, USBA 53",1,"Desulfosoma caldarium",2788499819,FJ491989,56
,,,,,610254.3,,56.1
,,,,,GCA_003751385,,
3949,B331,"DSM 10085",1,"Desulfospira joergensenii",1265505.3,X99637,49.3
,,,,,2523231085,,
,,,,,GCA_000420085,,
130523,M1,"DSM 27692, JCM 19471",1,"Desulfosporosinus acididurans",2651869844,HG316990,41.8
,,,,,GCA_001029285,,
11781,SJ4,"DSM 22704, JCM 16185",1,"Desulfosporosinus acidiphilus",2506783061,FJ951625,42.3
,,,,,646529.13,,
,,,,,646529.14,,
