"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","PH range",pH,"Salt conc."
,,,,,,,,0-2
24670,SBZ3-12,"DSM 26119, CCTCC AB 2012160, KACC 16539",1,"Dyella jiangningensis",GCA_000632805,alkaliphile,04-10,0-4
,,,,,GCA_900100425,,,3
141036,DHON07,"CGMCC 1.15400, NBRC 111475",1,"Dyella mobilis",GCA_016904945,acidophile,4.0-7.5,0
,,,,,,,,0-2.5
166465,"4 G-K06","LMG 30268, GDMCC 1.1188",1,"Dyella monticola",GCA_003363155,acidophile,3.5-7.5,0
,,,,,,,,0-3.5
166464,4MSK11,"KCTC 62280, GDMCC 1.1185",1,"Dyella psychrodurans",2894698865,acidophile,3.5-7.5,0-2.5
,,,,,GCA_003363265,,,0.5
17457,JS12-10,"DSM 23154, JCM 15423, KACC 12747",1,"Dyella soli",522319.3,acidophile,04-08,0-2
,,,,,GCA_004336905,,,0.5
17458,JS14-6,"DSM 23153, JCM 15424, KACC 12748",1,"Dyella terrae",2894703127,alkaliphile,04-09,0-3
,,,,,522259.3,,,0.5
,,,,,GCA_004322705,,,
140501,JL3085,"NBRC 111782, CGMCC 1.15407",1,"Echinicola rosea",1807691.4,alkaliphile,4.0-11.0,0-15
,,,,,2836705604,,,1.0-2.0
,,,,,GCA_005281475,,,
,,,,,GCA_014642715,,,
133368,,"MEBiC 08714, KCTC 52052, JCM 31307",1,"Echinicola strongylocentroti",1795355.3,alkaliphile,6.0-11.0,0.0-13.0
,,,,,GCA_003260975,,,2
140755,4G-K17,"CGMCC 1.15447, LMG 29212",1,"Edaphobacter acidisoli",2040573.3,acidophile,3-7,0-1.5
,,,,,GCA_014642855,,,0-2.5
,,,,,GCA_025685745,,,
159869,4MSH08,"GDMCC 1.1317, KCTC 62475",1,"Edaphobacter bradus",GCA_025685645,acidophile,3.0-6.5,0-3.0
158304,,"DSM 104462, SBC 68, VKM B-3208",1,"Tunturiibacter lichenicola",2051959.10,acidophile,3.4-7.0,0-1
,,,,,GCA_025264645,,,
141116,,"CGMCC 1.14988, KCTC 33612, EGI 80432, JCM 33036",1,"Egicoccus halophilus",1670830.4,alkaliphile,6.0-10.0,0
,,,,,GCA_004300825,,,0-9
,,,,,GCA_014640475,,,3-5
17879,"DQ417339, TU-7","DSM 17972, CIP 109115",1,"Elioraea tepidiphila",1121861.3,alkaliphile,8-8.5,<1.5
,,,,,2519899683,,,
,,,,,GCA_000378465,,,
140756,TH019,"CGMCC 1.15802, LMG 29721",1,"Elstera cyanobacteriorum",2022747.4,alkaliphile,5-9,0-1
,,,,,GCA_002251735,,,
,,,,,GCA_014643715,,,
159732,ZYL,"KCTC 62328, JCM 32378, MCCC 1K03526",1,"Paremcibacter congregatus",2786546679,alkaliphile,6-8.5,2
,,,,,GCA_002740695,,,<7
,,,,,GCA_006385135,,,
164447,17J42-9,"JCM 33056, KCTC 62270",1,"Emticicia agri",GCA_004168285,alkaliphile,6.0-8.5,0.5
,,,,,,,,1
140757,Acr-14,"BCRC 80922, LMG 29482, KCTC 42901",1,"Endozoicomonas acroporae",2839589109,alkaliphile,5-10,1-5
,,,,,GCA_002864045,,,2
134024,PS125,"NCCB 100438, CECT 8353",1,"Endozoicomonas gorgoniicola",GCA_025562715,alkaliphile,7.0-9.0,01-04
,,,,,,,,2.5
133557,CL-33,"LMG 24815, BCRC 17933",1,"Endozoicomonas montiporae",1027273.5,alkaliphile,06-10,01-03
,,,,,2574179789,,,2.5
,,,,,2687453173,,,
,,,,,570277.3,,,
,,,,,GCA_000722565,,,
,,,,,GCA_001583435,,,
23035,HC50,"DSM 25634, NBRC 108893",1,"Endozoicomonas numazuensis",1137799.5,alkaliphile,5.5-9,1.25-5
,,,,,2574179790,,,2
,,,,,GCA_000722635,,,
140805,,"LMG 29231, HAMBI 3645, CCBAU 23380",1,"Ensifer glycinis",1472378.3,alkaliphile,9,2
,,,,,GCA_001651865,,,
7794,,"DSM 24083, JCM 17352, YIM 100590",1,"Enteractinococcus coprophilus",1027633.3,alkaliphile,07-11,<11
,,,,,2816332111,,,
,,,,,GCA_006716305,,,
7793,"G-5, G5","DSM 22966, MTCC 9846, JCM 17931",1,"Enteractinococcus fodinae",2923486541,alkaliphile,5.2-11.0,0-10
,,,,,,,,0-15
,,,,,,,,15
166451,"GDMCC1.1427, 90028","CCTCC AB 2018173, CNCTC 7649",1,"Enterobacter chuandaensis",GCA_003594915,alkaliphile,5-10,0-8
166452,"GDMCC1.1426, 90008","CCTCC AB 2018174, CNCTC 7648",1,"Enterobacter huaxiensis",GCA_003594935,alkaliphile,5-10,0-8
24004,ORL-24,"DSM 29072, JCM 18359, KACC 16708",1,"Enterococcus diestrammenae",1155073.5,alkaliphile,6.0-10.0,0-5
,,,,,2901213754,,,
166242,63-4,"NCIMB 15178, CCM 8922",1,"Enterococcus dongliensis",2559925.3,alkaliphile,11,5
,,,,,GCA_005405225,,,
166241,190-7,"NCIMB 15200, CCM 8949",1,"Enterococcus hulanensis",2559929.3,alkaliphile,11,5
,,,,,GCA_005405485,,,
5342,"TP 1.5","DSM 15952, CCUG 50447, LMG 22039, CIP 108583",1,"Enterococcus italicus",649989943,alkaliphile,9.6,05-06
,,,,,888064.11,,,5
,,,,,888064.3,,,6.5
,,,,,GCA_000185365,,,
,,,,,GCA_001885995,,,
5362,BT159,"DSM 23655, LMG 25958",1,"Enterococcus lactis",2928549275,alkaliphile,9.6,2-6.5
,,,,,357441.21,,,
,,,,,GCA_015904215,,,
166240,94-2,"NCIMB 15180, CCM 8920, LMG 31180",1,"Enterococcus nangangensis",2559926.3,alkaliphile,11,5
,,,,,GCA_005405245,,,
164673,241-2-2,"JCM 33833, CCM 8921, LMG 31181, NCIMB 15185",1,"Enterococcus pingfangensis",2559924.3,alkaliphile,11,5
,,,,,GCA_005405205,,,6
5361,C27,"DSM 26408, CCM 7889, LMG 26214",1,"Enterococcus plantarum",1077675.3,alkaliphile,9.6,6.50
,,,,,GCA_001730295,,,
132142,"strain 1971","DSM 102982, CCM 4630, CCUG 61593, LMG 26678",1,"Enterococcus rotai",118060.4,alkaliphile,9.6,6.5
,,,,,2687453606,,,
,,,,,2928218588,,,
,,,,,GCA_001465345,,,
5349,W442,"DSM 22801, CCM 7319, CCUG 53830, CIP 109179, LMG 23085",1,"Enterococcus silesiacus",2687453605,alkaliphile,7-9.6,6.5
,,,,,332949.6,,,
,,,,,332949.8,,,
,,,,,GCA_001465115,,,
,,,,,GCA_001886225,,,
164674,85-4,"JCM 33834, CCM 8923, LMG 31183, NCIMB 15179",1,"Enterococcus songbeiensis",2559927.3,alkaliphile,11,5
,,,,,GCA_005405265,,,
5350,"C.J. Portricus UAD1, UAD1","CCM 7300, DSM 22803, CCUG 53831, CIP 109180, LMG 8895",1,"Enterococcus termitis",2916559209,alkaliphile,7-9.6,6.5
,,,,,332950.4,,,
,,,,,332950.6,,,
,,,,,GCA_001730305,,,
,,,,,GCA_001886275,,,
5352,FP48-3,"DSM 21767, CCM 7793, KCTC 13134, NBRC 101867, NRIC 0107, PCU 282, TISTR 933",1,"Enterococcus thailandicus",417368.11,alkaliphile,5-9.6,2-6.5
,,,,,417368.6,,,
,,,,,GCA_001886265,,,
,,,,,GCA_007989705,,,
132143,,"DSM 102981, CCM 4629, CCUG 48799, LMG 26676",1,"Enterococcus ureilyticus",1131292.3,alkaliphile,9.6,6.5
,,,,,1131292.4,,,
,,,,,1131292.5,,,
,,,,,2901250893,,,
,,,,,GCA_001730315,,,
,,,,,GCA_002806915,,,
,,,,,GCA_016908995,,,
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,"Veronia pacifica",1080227.5,alkaliphile,7.0-9.0,0
,,,,,2791354993,,,1-7
,,,,,GCA_001707825,,,3-4
,,,,,,,,8
23549,PB3-7B,"DSM 25520, NCAIM B 02512",1,"Eoetvoesiella caeni",2770939557,alkaliphile,6.5-9.0,0-2.5
,,,,,645616.3,,,0.5
,,,,,645616.4,,,
,,,,,GCA_003315175,,,
,,,,,GCA_013416545,,,
,,,,,GCA_022688825,,,
164343,F02,"JCM 32722, FBCC 500047, KCTC 62567",1,"Ephemeroptericola cinctiostellae",2848339753,alkaliphile,6-9,0-0.5
,,,,,GCA_003339525,,,
24523,U95,"DSM 24752, LMG 26464",1,"Epibacterium ulvae",2622736501,alkaliphile,06-09,01-06
,,,,,GCA_002796795,,,2.5
,,,,,GCA_900102795,,,
158621,EPI-7,"KCCM 90264, JCM 31644",1,"Epidermidibacterium keratini",2883308892,alkaliphile,5-8.5,0
,,,,,GCA_009834025,,,0-10
140758,RC-4-10-4,"CGMCC 1.15507, JCM 31277",1,"Aurantiacibacter arachoides",1850444.4,alkaliphile,6-9,0-3
,,,,,GCA_009827335,,,2
,,,,,GCA_014643415,,,
133565,K7-2,"KCTC 22330, JCM 15420",1,"Aurantiacibacter gangjinensis",2721755453,alkaliphile,06-10,01-07
,,,,,502682.17,,,
,,,,,GCA_001010925,,,
,,,,,GCA_001886695,,,
133796,,"KCTC 23090, JCM 16677, CNU 001",1,"Parerythrobacter jejuensis",795812.3,alkaliphile,06-10,01-05
,,,,,GCA_009827995,,,3
166340,EB310,"KCTC 72109, MCCC 1K03690",1,"Erythrobacter mangrovi",2911804801,alkaliphile,5.5-9.5,0.0-9.0
,,,,,GCA_013260645,,,2
133552,T30,"CGMCC 1.7715, JCM 16125",1,"Qipengyuania nanhaisediminis",2619618819,alkaliphile,4.5-11,02-03
,,,,,604088.3,,,02-10
,,,,,GCA_900115585,,,
134033,JA747,"KCTC 23981, NBRC 108930",1,"Aurantiacibacter odishensis",1155476.3,alkaliphile,6.2-9.1,0-9
,,,,,2839076428,,,2
,,,,,GCA_003605195,,,
133677,UST081027-248,"JCM 17468, NRRL 59511",1,"Qipengyuania pelagi",994320.4,alkaliphile,05-10,1-10
,,,,,GCA_009827295,,,2.50
5387,E5,"DSM 8510, IAM 14333, NCIMB 13404, JCM 10282, ATCC 700003, CIP 106927, NBRC 102621",1,"Erythrobacter ramosus",2828010827,alkaliphile,7.08-8.5,0-10
,,,,,35811.5,,,
,,,,,35811.6,,,
,,,,,GCA_009828055,,,
,,,,,GCA_014195675,,,
17689,YUAN-3,"DSM 18485, CGMCC 1.5033, JCM 12961",1,"Ethanoligenens harbinense",649633043,alkaliphile,3.5-9,0-2
,,,,,663278.4,,,
,,,,,GCA_000178115,,,
,,,,,GCA_003020045,,,
5730,AS06/20a,"DSM 19308, CIP 109577, OOB 358",1,"Eudoraea adriatica",1121875.29,alkaliphile,6.5-8.5,02-06
,,,,,2522572201,,,2
,,,,,GCA_000382125,,,
159886,,"DSM 104446, MCCC 1k03290, DSW 09",1,"Euzebya rosea",2052804.3,alkaliphile,6.0-9.0,0.5-5.0
,,,,,,,,1.0-4.0
133572,F10,"NBRC 105439, KCTC 19736",1,"Euzebya tangerina",2831856209,alkaliphile,07-09,0.5-12
,,,,,591198.3,,,
,,,,,GCA_003074135,,,
1242,N-4,"DSM 2522, ATCC 21833, FERM P-1141, JCM 9156, CIP 109017, FERM 1141",1,"Evansella cellulosilytica",649633010,alkaliphile,08-10,0-13
,,,,,649639.5,,,12
,,,,,GCA_000177235,,,7.5
24783,12/1,"DSM 21148, CCM 8459",1,"Exiguobacterium alkaliphilum",2585427936,alkaliphile,6.5-12,0-9.5
,,,,,506480.4,,,
,,,,,GCA_000714435,,,
,,,,,GCA_025234775,,,
18115,T-2-2,"DSM 17272, JCM 12280, NCIMB 13980, CCUG 51936, CIP 108684, CIP 108634",1,"Exiguobacterium oxidotolerans",1397699.3,alkaliphile,07-10,0-10
,,,,,2562617200,,,0-12
,,,,,GCA_000702625,,,6
18119,10c,"DSM 17289, CCUG 50949, CNCM I-2962",1,"Exiguobacterium profundum",GCA_025234635,alkaliphile,5.5-9.5,0-11
,,,,,,,,2
18120,,"DSM 22015, JCM 14376, MTCC 4816, DVS 3Y",1,"Exiguobacterium soli",2913394191,alkaliphile,06-10,0-5.8
,,,,,309483.3,,,
131261,S4,"DSM 100911, CGMCC 1.10977, JCM 17803",1,"Extensimonas vulgaris",1031594.3,alkaliphile,5.5-8.5,0-2
,,,,,1031594.4,,,0.5
,,,,,2596583579,,,
,,,,,2770939495,,,
,,,,,GCA_003337425,,,
,,,,,GCA_007830535,,,
,,,,,GCA_007996985,,,
141117,A4,"KCTC 42507, CGMCC 1.15111",1,"Roseivirga thermotolerans",1758176.3,alkaliphile,6.0-9.0,0
,,,,,GCA_014653175,,,0-14
166289,,"DSM 103991, KCTC 52556, SYSU SYW-5",1,"Facilibium subflavum",2219058.3,alkaliphile,6-10,1-7
,,,,,GCA_003574485,,,
166490,"GY 10110","CGMCC 1.13648, NBRC 113502",1,"Falsibacillus albus",2832792268,alkaliphile,6-9,0-3
,,,,,GCA_003668575,,,1
1409,"CW 7","DSM 25281, CCTCC AB 207188, KCTC 13200, LMG 24451, CIP 109936, BCRC 80032",1,"Falsibacillus pallidus",2770939515,alkaliphile,6.0-8.5,3.0
,,,,,493781.3,,,5.0
,,,,,GCA_003350505,,,8.0
166344,,"KCTC 52106, CCTCC AB 2016031, YIM 102744-1",1,"Falsigemmobacter faecalis",GCA_003863335,alkaliphile,6-9,0-1
,,,,,,,,0-2
5754,UST040201-002,"DSM 21703, JCM 14605, NRRL B-41860",1,"Fangia hongkongensis",1121876.3,alkaliphile,4.9-8.8,0.4-7.5
,,,,,2515154119,,,2.5
,,,,,GCA_000379445,,,
140144,ING2-E5B,"DSM 28696, CECT 8609, LMG 28429",1,"Fermentimonas caenicola",2645727949,alkaliphile,6.3-9.1,0
,,,,,,,,0-1
5455,A4D-4,"DSM 16917, CIP 109004, MBIC 06480, NBRC 102583",1,"Ferrimonas marina",2588254304,alkaliphile,6.0-11.0,1.5-3.5
,,,,,299255.3,,,3
,,,,,GCA_900129905,,,
24008,JYr13,"DSM 23317, LMG 25564, JCM 17552",1,"Ferrimonas sediminum",2634166324,alkaliphile,07-10,3
,,,,,718193.3,,,
,,,,,GCA_900100175,,,
16698,Y170,"DSM 21121, JCM 15106, KCTC 5610",1,"Fervidicola ferrireducens",GCA_001562425,alkaliphile,05-09,<2
17038,CBS-1,"DSM 17883, JCM 13353",1,"Fervidobacterium changbaicum",2619619036,alkaliphile,6.4-8.5,0-1
,,,,,2848342349,,,
,,,,,310769.5,,,
,,,,,GCA_004117075,,,
,,,,,GCA_900100515,,,
133268,FC2004,"JCM 18757, ATCC BAA-2483, ATCC AA-2483",1,"Fervidobacterium thailandense",1008305.3,alkaliphile,6.0-8.5,0.0-5.0
,,,,,2881251750,,,0.5
,,,,,GCA_001719065,,,
1218,R-13853,"DSM 15865, LMG 21880",1,"Fictibacillus gelatini",1121091.3,alkaliphile,4.5-9.5,15
,,,,,2523533616,,,
,,,,,GCA_000430745,,,
1245,ZFHKF-1,"DSM 17262, JCM 13285, CIP 109160, NCIMB 14300",1,"Fictibacillus macauensis",1196324.3,alkaliphile,06-10,2
,,,,,2524023182,,,
,,,,,GCA_000269865,,,
1304,,"DSM 23009, KCTC 13712, JSM 082006",1,"Fictibacillus nanhaiensis",742169.3,alkaliphile,6-10.5,0-18
,,,,,742169.4,,,2.25
1285,YC1,"DSM 25243, CGMCC 1.6854, KCTC 13181, JCM 14863, BCRC 80435",1,"Fictibacillus solisalsi",2619618871,alkaliphile,05-13,0-15
,,,,,459525.17,,,7.5
,,,,,GCA_900103485,,,
166480,TB-66,"CIP 111629, LMG 30660, CCM 8866, DSM 107336",1,"Filibacter tadaridae",GCA_900609045,alkaliphile,6.5-9.5,1-5
,,,,,,,,6
17763,YT21,"DSM 21054, NBRC 104114",1,"Filimonas lacunae",2681813554,alkaliphile,05-09,<1
,,,,,2802429281,,,
,,,,,477680.4,,,
,,,,,477680.5,,,
,,,,,GCA_002355595,,,
,,,,,GCA_900156765,,,
133340,SP5,"LMG 29572, VKM B-3045",1,"Fimbriiglobus ruber",2786546892,acidophile,4.0-6.8,0.1
,,,,,GCA_002197845,,,
159764,ECD12,"KCTC 52351, JCM 32292",1,"Flagellimonas aquimarina",GCA_003149745,alkaliphile,7-9,1-8
,,,,,,,,4-6
24012,WPAGA1,"DSM 24597, CCTCC AB 2010364, LMG 26175, MCCC 1A06425",1,"Flammeovirga pacifica",2648501771,alkaliphile,06-10,0-5
,,,,,915059.3,,,3
,,,,,GCA_000807855,,,
23525,H5,"DSM 24315, CICC 10486",1,"Flaviflexus huanghaiensis",1111473.3,alkaliphile,6.5-9,0-6
,,,,,GCA_014118685,,,1
133534,T41,"CGMCC 1.7723, NBRC 106054",1,"Flavihumibacter petaseus",1220578.3,alkaliphile,5.5-9.5,0-1
,,,,,2627853666,,,
,,,,,GCA_000974785,,,
133199,YS-17,"CCTCC AB 2016053, KCTC 52205",1,"Flavihumibacter stibioxidans",2920284866,alkaliphile,6.0-9.0,0
,,,,,GCA_014332695,,,0.0-1.0
14040,1-19,"DSM 19083, CGMCC 1.3457, CIP 109015, JCM 12547",1,"Flavimobilis marinus",2622736429,alkaliphile,5.5-9.0,0-7
,,,,,285351.4,,,3.5
,,,,,285351.5,,,
,,,,,GCA_014653315,,,
,,,,,GCA_900113055,,,
140505,LCS9,"KCTC 42070, JCM 19972",1,"Flavisolibacter tropicus",2602042012,alkaliphile,6-10,0
,,,,,2758568004,,,0-0.5
,,,,,GCA_001644645,,,
140955,ECD14,"KCTC 52352, JCM 31797",1,"Flavivirga eckloniae",2788500147,alkaliphile,7.0-9.0,2-5
,,,,,GCA_002886045,,,3
158819,HR-AY,"KACC 19407, JCM 32264",1,"Flavobacterium alvei",GCA_002920895,alkaliphile,5.0-9.0,0
5570,D3,"DSM 22555, CGMCC 1.6859, KCTC 22128, JCM 14864, CIP 109938",1,"Flavobacterium anhuiense",2596583647,alkaliphile,04-10,0-2
,,,,,459526.10,,,0.5
,,,,,GCA_900101855,,,
5557,AT1026,"DSM 19726, CIP 108750, IMSNU 14042, JCM 12383, KCTC 12222, KCTC 23290, KCTC 52532, LMG 25319",1,"Flavobacterium antarcticum",1111730.5,alkaliphile,06-10,0-4
,,,,,2513237111,,,
,,,,,GCA_000419685,,,
133997,JC164,"KCTC 32196, CGMCC 1.12398, LMG 27251",1,"Flavobacterium aquaticum",1236486.3,alkaliphile,6.5-10,0-0.5
,,,,,2718217678,,,
,,,,,GCA_003259835,,,
5585,LM-19-Fp,"DSM 24704, CCM 7939, CCUG 61031, LMG 26359",1,"Flavobacterium araucananum",2695420947,alkaliphile,6.5-8.5,0-3
,,,,,946678.6,,,
,,,,,946678.8,,,
,,,,,GCA_002222055,,,
,,,,,GCA_003148525,,,
158736,TH167,"CGMCC 1.15805, LMG 29719",1,"Flavobacterium aurantiibacter",GCA_002251775,alkaliphile,6-9,0
,,,,,,,,0-2
133522,LM5,"CGMCC 1.7031, NBRC 104239, CIP 110388",1,"Flavobacterium caeni",2596583574,alkaliphile,5.5-9.5,0-2
,,,,,490189.4,,,0.5
,,,,,GCA_900101895,,,
166270,1E403,"KCTC 62960, MCCC 1H00356",1,"Flavobacterium cerinum",2876995545,alkaliphile,6-9,0
,,,,,GCA_004028155,,,0-2
5586,LM-09-Fp,"DSM 24724, CCM 7940, LMG 26360, CCUG 61032",1,"Flavobacterium chilense",2700988709,alkaliphile,6.5-8.5,0-3
,,,,,2724679197,,,
,,,,,946677.7,,,
,,,,,946677.8,,,
,,,,,GCA_001602525,,,
,,,,,GCA_900142685,,,
158765,PK15,"KCTC 52562, JCM 32115, CIP 111714",1,"Flavobacterium commune",2765235939,alkaliphile,6-9,0-0.8
,,,,,GCA_001857965,,,0.4
159807,HYN0056,"KACC 19182, NBRC 112743",1,"Flavobacterium crocinum",2844330942,alkaliphile,5-11.5,0
,,,,,GCA_003122385,,,0-2
24023,E89,"DSM 25795, CIP 110384, LMG 26922",1,"Flavobacterium cutihirudinis",1265740.4,alkaliphile,6.5-9.5,0-3
,,,,,2695421040,,,
,,,,,GCA_003385895,,,
158657,TH021,"LMG 29720, CGMCC 1.16325",1,"Flavobacterium cyanobacteriorum",2773857927,alkaliphile,5-10,0
,,,,,GCA_002251835,,,0-1
5587,"ARSA-19, ARSA-19(T)","DSM 25687, JCM 17065, KACC 14968, KCTC 23179",1,"Flavobacterium dankookense",2695421041,alkaliphile,6.5-9.5,0-1
,,,,,706186.4,,,
,,,,,GCA_004362665,,,
5567,"EMB 117","CCUG 59869, DSM 17963, CIP 109898, KCTC 12612",1,"Flavobacterium defluvii",2695420958,alkaliphile,5.0-10.0,0.5
,,,,,370979.5,,,1
,,,,,GCA_900129555,,,
5569,"EMB 34, EMB34","DSM 17961, KCTC 12610, CIP 109743",1,"Flavobacterium filum",1121889.3,alkaliphile,6.0-9.5,<2
,,,,,2523533606,,,
,,,,,GCA_000425465,,,
158613,CJ42,"KACC 19302, JCM 32085",1,"Flavobacterium foetidum",2026681.3,alkaliphile,6-9,0
,,,,,2882034188,,,0-1
,,,,,GCA_004634245,,,
134059,,"KCTC 23318, JCM 17336, DCY 54, BCRC 81040, CIP 110819",1,"Flavobacterium ginsengisoli",GCA_029625315,alkaliphile,05-09,0-2
,,,,,,,,0.5
133360,THG-HG1.4,"KACC 18852, CCTCC AB 2016178",1,"Flavobacterium hibisci",GCA_020026925,alkaliphile,6.5-9.0,0-2.5
,,,,,,,,1
158639,WV39,"KCTC 42908, CECT 9085",1,"Flavobacterium kingsejongi",1981981.3,alkaliphile,5-9,0.5-8
,,,,,GCA_003076475,,,6
158745,THG-AG6.4,"KACC 18851, CGMCC 1.16060",1,"Flavobacterium limi",2045105.3,alkaliphile,6.0-9.5,0-1.5
,,,,,2045105.4,,,1.0
,,,,,2906870539,,,
,,,,,GCA_010645075,,,
,,,,,GCA_014644395,,,
5571,IP-10,"DSM 21886, CCM 7424, MTCC 8597, CIP 109890",1,"Flavobacterium lindanitolerans",2708743162,alkaliphile,06-09,01-02
,,,,,2731639123,,,1
,,,,,428988.11,,,
,,,,,428988.6,,,
,,,,,GCA_002846575,,,
,,,,,GCA_003663835,,,
,,,,,GCA_014385425,,,
140887,HQQ,"CGMCC 1.15347, KCTC 42935",1,"Flavobacterium lutivivi",1677894.3,alkaliphile,6-9,0
,,,,,GCA_014642275,,,0-1
133979,SW105,"CGMCC 1.10825, JCM 18132",1,"Myroides aquimaris",1159016.3,alkaliphile,5.5-8.5,0-5
,,,,,2596583585,,,1.25
,,,,,GCA_900108395,,,
133920,N1,"MTCC 11155, JCM 17678",1,"Flavobacterium nitratireducens",GCA_029625335,alkaliphile,07-09,0-1
133902,R-HLS-17,"CGMCC 1.10076, NBRC 108844",1,"Flavobacterium noncentrifugens",1128970.3,alkaliphile,6.0-8.5,0-1.5
,,,,,1128970.6,,,
,,,,,2619618994,,,
,,,,,GCA_007992475,,,
,,,,,GCA_900100375,,,
133311,SP3,"CGMCC 1.12506, NBRC 109717",1,"Flavobacterium orientale",1756020.3,alkaliphile,6.5-9.5,0-2.0
,,,,,GCA_014638005,,,0.5-1.0
166492,ICH-30,"BCRC 81122, LMG 30579, KCTC 62513",1,"Flavobacterium piscinae",2506424.5,alkaliphile,7-10,0-0.5
,,,,,2882799759,,,0-1
,,,,,GCA_004122145,,,
,,,,,GCA_014451095,,,
159751,P3922,"LMG 30616, CCM 8827",1,"Flavobacterium psychroterrae",2133767.3,alkaliphile,6-9,1
,,,,,GCA_018380615,,,2
140761,EA-12,"CGMCC 1.15345, NBRC 111769",1,"Flavobacterium quisquiliarum",GCA_019308285,alkaliphile,5-9,0-1
133758,FCS-5,"MTCC 10967, JCM 17928, CIP 110368",1,"Flavobacterium rakeshii",1038845.3,alkaliphile,05-12,0-3
,,,,,GCA_009741375,,,2
5573,BD-b365,"DSM 19382, CIP 109941, KCTC 22078, CCUG 59848",1,"Flavobacterium resistens",2724679687,alkaliphile,6-9.5,0-0.5
,,,,,443612.6,,,0-2
,,,,,443612.9,,,
,,,,,GCA_009674815,,,
,,,,,GCA_900182645,,,
5558,S13,"DSM 21664, CGMCC 1.3801, JCM 13331, CCUG 60843, CIP 109164",1,"Flavobacterium saliperosum",1341155.3,alkaliphile,6.5-8.5,0-1
,,,,,2576861653,,,
,,,,,2596583547,,,
,,,,,329186.7,,,
,,,,,GCA_000498515,,,
,,,,,GCA_900100625,,,
5574,"SS7, YC06274","DSM 21067, CIP 110183, KCTC 22246",1,"Flavobacterium sasangense",1121896.3,alkaliphile,6-9.5,0-1
,,,,,2563366726,,,
,,,,,GCA_000686885,,,
5561,AT1048,"DSM 19741, CIP 109332, IMSNU 14050, JCM 12385, KCTC 12224",1,"Flavobacterium segetis",2695420957,alkaliphile,06-11,0-3
,,,,,271157.3,,,
,,,,,GCA_900129575,,,
166201,RD-2-33,"KEMB 9005-742, KACC 21178, NBRC 113789",1,"Flavobacterium silvisoli",2882029220,alkaliphile,6-9,0
,,,,,GCA_004329815,,,0-1
133555,"0533, 533","CGMCC 1.8704, JCM 16398, CIP 110296",1,"Flavobacterium sinopsychrotolerans",2619618873,alkaliphile,6.5-10,0.5
,,,,,604089.3,,,<2
,,,,,GCA_900110375,,,
133486,"0563, 563","CGMCC 1.6847, JCM 15087, CIP 110391",1,"Flavobacterium tiangeerense",2596583560,alkaliphile,6.5-9,0-0.5
,,,,,459471.3,,,
,,,,,GCA_007830355,,,
166416,YH5,"CICC 24247, KCTC 62174",1,"Flavobacterium tibetense",GCA_003293845,alkaliphile,6-9,0-3
,,,,,,,,1
141064,THG-DN8.8,"KCTC 42726, CCTCC AB 2015295",1,"Flavobacterium tyrosinilyticum",GCA_023656565,alkaliphile,5.5-9.5,0-2
133685,Sr25,"CGMCC 1.9230, NBRC 106480",1,"Flavobacterium urumqiense",2617270781,alkaliphile,6-9.5,0-0.5
,,,,,935224.4,,,
,,,,,GCA_900108015,,,
166281,T13,"KCTC 62874, ACCC 60126",1,"Flavobacterium ustbae",GCA_003946915,alkaliphile,5.5-9.5,2
,,,,,,,,3
5560,AT1042,"DSM 19727, CIP 109334, IMSNU 14048, JCM 12384, KCTC 12223",1,"Flavobacterium weaverense",2698536818,alkaliphile,06-12,0-3
,,,,,271156.3,,,1
,,,,,GCA_003688495,,,
133684,Sr22,"CGMCC 1.9227, NBRC 106479",1,"Flavobacterium xueshanense",2617270785,alkaliphile,06-09,0-0.5
,,,,,935223.3,,,
,,,,,GCA_900112975,,,
140254,R1,"DSM 105369, JCM 31060, KACC 18597",1,"Flexivirga oryzae",1794944.3,alkaliphile,5.0-9.0,0
,,,,,2821263656,,,0.0-3.0
,,,,,GCA_014190805,,,
158536,HibF3,"LMG 29831, JCM 31735",1,"Floricoccus penangensis",1859475.4,alkaliphile,9,4
,,,,,2788500174,,,5
,,,,,GCA_001832885,,,6.5
158537,DF1,"LMG 29833, JCM 31733",1,"Floricoccus tropicus",1859473.4,alkaliphile,9,4
,,,,,2788500173,,,5
,,,,,GCA_001832905,,,6.5
132964,4DR5,"DSM 105135, JCM 19370, KCTC 32475",1,"Fluviicoccus keumensis",1435465.3,alkaliphile,6-9,0
,,,,,2802429732,,,0-0.4
,,,,,GCA_004217445,,,
133644,,"DSM 21935, ACCC 10716, YIM D17",1,"Fodinibius salinus",2728369742,alkaliphile,6.0-9.0,10-15
,,,,,860790.3,,,4-23
,,,,,GCA_008124865,,,
14023,,"DSM 21160, CCTCC AA 208037, YIM D812",1,"Fodinicurvata fenggangensis",2563366728,alkaliphile,6.5-8.5,1.5-20
,,,,,570967.3,,,
,,,,,GCA_000686045,,,
